HBA Department
25003 Deodorant-Shave-04' L-Released
",,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 6",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0066738310503,,,1,,,NOURISH ORGANIC,,,,ORGANIC DEODORANT-LAVENDER MINT,,,,,,2.20,,,OZ,,,,,,,2.30,,,,,,
13,0068773531002,,,1,,,PACIFICA,,,,DEODORANT WIPES-COCNT MLK & ESSNTL,,,,,,30.00,,,CNT,,,,,,,3.60,,,,,,
14,0068773531001,,,1,,,PACIFICA,,,,DEODORANT WIPES-COCNT MLK & SGR FLWR,,,,,,30.00,,,CNT,,,,,,,3.60,,,,,,
Positio,,,UPC,,Facings,,,,Brand,,,,,Long Description,,,,,Size,,,UOM,,,,Date,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0068773531000,,,1,,,PACIFICA,,,,DEODORANT WIPES-COCNT MLK & KALE,,,,,,30.00,,,CNT,,,,,,,3.60,,,,,,
16,0006642761000,,,1,,,PARISSA,,,,WAX STRIPS-FACE-BIKINI,,,,,,16.00,,,CNT,,,,,,,3.20,,,,,,
17,0006642762000,,,1,,,PARISSA,,,,WAX STRIPS-LEGS-BODY,,,,,,16.00,,,CNT,,,,,,,4.30,,,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 6.00"",   Product: 3' 11.95""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0087863900021,,,2,,,EVERYMAN JACK,,,,DEODORANT- CEDARWOOD,,,,,,3.00,,,OZ,,,,,,,2.80,,,,,,
2,0087863900023,,,1,,,EVERYMAN JACK,,,,DEODORANT-SANDALWOOD,,,,,,3.00,,,OZ,,,,,,,2.80,,,,,,
3,0087863900022,,,1,,,EVERYMAN JACK,,,,DEODORANT - CITRUS,,,,,,3.00,,,OZ,,,,,,,2.80,,,,,,
4,0087863900020,,,1,,,EVERYMAN JACK,,,,DEODORANT-MINT,,,,,,3.00,,,OZ,,,,,,,2.80,,,,,,
