11,0035497331791,,,,1,,,HYLANDS,,,,,,COLD N MUCUS 4 KIDS,,,,,4.00,,,FOZ,,,Mar 13 2016 1,,,,1.89,,,,,
12,0035497331861,,,,1,,,HYLANDS,,,,,,COLD N FLU 4 KIDS COMPLETE,,,,,4.00,,,FOZ,,,Mar 13 2016 1,,,,1.89,,,,,
13,0003367460165,,,,1,,,NATURE'S WAY,,,,,,UMCKA CHILDRENS CHERRY SYRUP,,,,,4.00,,,FOZ,,,Mar 13 2016 1,,,,2.20,,,,,
14,0003367406973,,,,2,,,NATURE'S WAY,,,,,,SAMBUCUS SYRUP FOR KIDS,,,,,4.00,,,FOZ,,,Mar 13 2016 1,,,,2.20,,,,,
15,0003367415797,,,,1,,,NATURE'S WAY,,,,,,SAMBUCUS FOR KIDS-ORGANIC,,,,,4.00,,,FOZ,,,Mar 13 2016 1,,,,2.20,,,,,
16,0008300026044,,,,1,,,NATURE'S ANSWER,,,,,,SAMBUCUS KIDS FORMULA,,,,,4.00,,,FOZ,,,Mar 13 2016 1,,,,1.98,,,,,
17,0009746729978,,,,1,,,NATURE'S PLUS,,,,,,ANIMAL PARADE KIDS IMMUNE BOOSTER,,,,,90.00,,,TAB,,,Mar 13 2016 1,,,,2.53,,,,,
18,0061309868375,,,,1,,,HERO NUTRITION,,,,,,YUMMI BEARS ECHINACEA C ZINC,,,,,40.00,,,CNT,,,Mar 13 2016 1,,,,3.30,,,,,
19,0061309890104,,,,1,,,HERO NUTRITION,,,,,,YUMMI BEARS ORGANICS IMMUNITY SHIELD,,,,,90.00,,,CNT,,,Mar 13 2016 1,,,,3.30,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positio,,,,UPC,,Facings,,,,,,Brand,,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 5.50"",   Depth: 1' 5.00"",   Product: 3' 11.91""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0035497331542,,,,1,,,HYLANDS,,,,,,BABY COUGH SYRUP,,,,,4.00,,,FOZ,,,Mar 13 2016 1,,,,2.75,,,,,
2,0035497331801,,,,1,,,HYLANDS,,,,,,COLD SYRUP-NIGHTIME- BABY,,,,,4.00,,,FOZ,,,Mar 13 2016 1,,,,2.75,,,,,
3,0035497331581,,,,1,,,HYLANDS,,,,,,BABY TINY COLD TABLETS,,,,,125.00,,,TAB,,,Mar 13 2016 1,,,,2.85,,,,,
4,0035497375062,,,,2,,,HYLANDS,,,,,,VITAMIN C TABLETS,,,,,125.00,,,TAB,,,Mar 13 2016 1,,,,2.85,,,,,
5,0035497331471,,,,1,,,HYLANDS,,,,,,COLIC TABLETS,,,,,125.00,,,TAB,,,Mar 13 2016 1,,,,2.85,,,,,
6,0035497333081,,,,1,,,HYLANDS,,,,,,CALMING TABLETS-BABY,,,,,125.00,,,TAB,,,,,,,2.85,,,,,
7,0035497333151,,,,1,,,HYLANDS,,,,,,BABY ORAL PAIN REFLIEF,,,,,125.00,,,TAB,,,,,,,2.85,,,,,
8,0077815909060,,,,1,,,HOMEOLAB USA,,,,,,KIDS RELIEF-TEETHING,,,,,0.85,,,FOZ,,,,,,,2.40,,,,,
9,0030696905446,,,,1,,,BOIRON,,,,,,CAMILIA-TEETHING RELIEF,,,,,10.00,,,DOS,,,,,,,3.60,,,,,
10,0030696905409,,,,1,,,BOIRON,,,,,,CAMILIA,,,,,30.00,,,DOS,,,Mar 13 2016 1,,,,3.60,,,,,
11,0030696907409,,,,1,,,BOIRON,,,,,,COLICOMFORT,,,,,30.00,,,DOS,,,,,,,3.60,,,,,
12,0030696905709,,,,1,,,BOIRON,,,,,,COLDCALM CHILDREN,,,,,30.00,,,DOS,,,,,,,3.60,,,,,
13,0067923405531,,,,1,,,MOMMYS BLISS,,,,,,BABY CONSTIPATION EASE,,,,,4.00,,,FOZ,,,Mar 13 2016 1,,,,2.04,,,,,
14,0067923405299,,,,1,,,MOMMYS BLISS,,,,,,GRIPE WATER,,,,,4.00,,,FOZ,,,Mar 13 2016 1,,,,2.04,,,,,
15,0067923405410,,,,1,,,MOMMYS BLISS,,,,,,GRIPE WATER-NIGHT TIME,,,,,4.00,,,FOZ,,,Mar 13 2016 1,,,,2.04,,,,,
16,0060827414000,,,,1,,,CHILDLIFE,,,,,,GRIPE WATER-ORGANIC,,,,,2.00,,,FOZ,,,,,,,2.05,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 4' 0.00"",    Height: 0' 5.50"",   Depth: 1' 5.00"",   Product: 3' 11.91""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0085453200235,,,,1,,,VITAMIN FRIENDS,,,,,,VEGETARIAN GUMMIES - BOOST APPETITE,,,,,36.00,,,CNT,,,Mar 13 2016 1,,,,2.75,,,,,
2,0064685816002,,,,1,,,BIORAY,,,,,,NDF POOPER,,,,,2.00,,,FOZ,,,,,,,1.63,,,,,
3,0064667006841,,,,1,,,SPROUTS,,,,,,KIDS GOTTA GO #2,,,,,1.00,,,FOZ,,,Mar 13 2016 1,,,,1.29,,,,,
4,0035497331961,,,,1,,,HYLANDS,,,,,,TUMMY ACHE 4 KIDS,,,,,50.00,,,TAB,,,Mar 13 2016 1,,,,2.82,,,,,
5,0061309868354,,,,1,,,HERO NUTRITION,,,,,,YUMMI BEARS FIBER SUPPLEMENT,,,,,60.00,,,CNT,,,Mar 13 2016 1,,,,3.30,,,,,
6,0063125715721,,,,1,,,RENEW LIFE,,,,,,GENTLE MOVE-KIDS COLON- BERRY BLAST,,,,,60.00,,,TAB,,,Apr 10 2016 1,,,,2.50,,,,,
7,0063125715720,,,,1,,,RENEW LIFE,,,,,,DIGEST SMART KIDS ENZYME-BERRY BLAST,,,,,60.00,,,TAB,,,Mar 13 2016 1,,,,2.50,,,,,
8,0063125715719,,,,2,,,RENEW LIFE,,,,,,ULITMATE FLORA KIDS PROBIOTIC,,,,,60.00,,,TAB,,,Mar 13 2016 1,,,,2.45,,,,,
9,0003367410521,,,,1,,,NATURE'S WAY,,,,,,IMMUNABLES-KIDS IMMUNITY,,,,,1.58,,,OZ,,,Mar 13 2016 1,,,,3.05,,,,,
10,0009746729969,,,,1,,,NATURE'S PLUS,,,,,,ANIMAL PARADE ACIDOPHI KIDZ,,,,,90.00,,,TAB,,,Mar 13 2016 1,,,,2.55,,,,,
