14,0079001114092,,,1,,,JARROW FORMULAS,,,,,GOLDEN TEA,,,,9.50,,,OZ,,,,Aug 14 2016 1,,,3.75,,,,
15,0079001121055,,,1,,,JARROW FORMULAS,,,,,BEYOND BONE BROTH-CHICKEN,,,,10.80,,,OZ,,,,Aug 14 2016 1,,,3.75,,,,
16,0079001121054,,,1,,,JARROW FORMULAS,,,,,BEYOND BONE BROTH-BEEF,,,,10.80,,,OZ,,,,Aug 14 2016 1,,,3.75,,,,
17,0079001121062,,,1,,,JARROW FORMULAS,,,,,BONE BROTH POWDER,,,,10.80,,,OZ,,,,,,,3.75,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 5.00"",   Product: 3' 11.97""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0003367410400,,,1,,,NATURE'S WAY,,,,,BEET ROOT POWDER,,,,100.00,,,VCP,,,,,,,2.05,,,,
2,0006199864960,,,1,,,SALUS,,,,,CRYSTALS-RED BEET,,,,7.00,,,OZ,,,,,,,3.85,,,,
3,0007628091412,,,1,,,SOLARAY,,,,,ORGANIC BEETROOT JUICE,,,,16.00,,,OZ,,,,,,,3.00,,,,
4,0008385120333,,,1,,,GREEN FOODS,,,,,WHEAT GRASS SHOTS-ORGANIC,,,,5.30,,,OZ,,,,Mar 20 2016 1,,,3.50,,,,
5,0008385120466,,,1,,,GREEN FOODS,,,,,GREEN MAGMA-ORG,,,,10.60,,,OZ,,,,Mar 20 2016 1,,,3.72,,,,
6,0065801011713,,,1,,,GARDEN OF LIFE,,,,,PERFECT FOOD ORG WHEAT GRASS POWDER,,,,4.20,,,OZ,,,,Mar 20 2016 1,,,3.70,,,,
7,0004395200003,,,1,,,PINES WHEAT GRASS,,,,,WHEAT GRASS-ORGANIC-500 MG,,,,500.00,,,TAB,,,,May 29 2016 1,,,3.00,,,,
8,0004395200010,,,1,,,PINES WHEAT GRASS,,,,,WHEAT GRASS POWDER,,,,10.00,,,OZ,,,,Mar 20 2016 1,,,3.20,,,,
9,0082983501200,,,1,,,AMAZING GRASS,,,,,WHEAT GRASS-ORG,,,,200.00,,,TAB,,,,Mar 20 2016 1,,,2.94,,,,
10,0082983591031,,,1,,,AMAZING GRASS,,,,,WHEAT GRASS-ORG,,,,0.28,,,OZ,,,,Mar 20 2016 1,,,1.30,,,,
Positio,,,UPC,,Facings,,,,,Brand,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0082983591035,,,1,,,AMAZING GRASS,,,,,WHEAT GRASS-ORG,,,,15.00,,,PK,,,,Mar 20 2016 1,,,2.54,,,,
12,0082983501100,,,2,,,AMAZING GRASS,,,,,WHEAT GRASS-ORG,,,,8.50,,,OZ,,,,Mar 20 2016 1,,,3.74,,,,
13,0082983501300,,,1,,,AMAZING GRASS,,,,,WHEAT GRASS-ORG,,,,17.00,,,OZ,,,,Mar 20 2016 1,,,3.74,,,,
14,0082983500075,,,1,,,AMAZING GRASS,,,,,THE AMAZING TRIO BRLY WHEAT ALFALFA,,,,8.50,,,OZ,,,,Mar 20 2016 1,,,3.74,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 5.00"",   Product: 4' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0064667068150,,,2,,,SPROUTS,,,,,RED BEET POWDER-ORGANIC,,,,8.50,,,OZ,,,,Mar 20 2016 1,,,6.10,,,,
2,0064667068151,,,1,,,SPROUTS,,,,,MORINGA POWDER-ORGANIC,,,,8.50,,,OZ,,,,Mar 20 2016 1,,,6.10,,,,
3,0064667068158,,,1,,,SPROUTS,,,,,POWDER-MATCHA GREEN TEA,,,,10.00,,,OZ,,,,Aug  7 2016 1,,,6.10,,,,
4,0082983500647,,,1,,,AMAZING GRASS,,,,,POWDER-ORG-KALE-GREEN SUPERFOOD,,,,5.29,,,OZ,,,,,,,5.78,,,,
5,0082983500648,,,1,,,AMAZING GRASS,,,,,ORGANIC SUPERGREENS POWDER,,,,5.29,,,OZ,,,,,,,5.78,,,,
6,0081298601656,,,1,,,ESSENTIAL LIVING FOODS,,,,,SMOOTHIE MIX-ORG-COCO GOGO,,,,6.00,,,OZ,,,,,,,5.30,,,,
7,0081298601654,,,1,,,ESSENTIAL LIVING FOODS,,,,,SMOOTHIE MIX-ORG-SUPERFOOD,,,,6.00,,,OZ,,,,,,,5.30,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 6,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 5.00"",   Product: 3' 11.95""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0060949280004,,,1,,,MRM,,,,,BAOBAB POWDER-ORGANIC,,,,8.50,,,OZ,,,,Mar 20 2016 1,,,6.10,,,,
2,0080381390619,,,1,,,SUNFOOD SUPERFOODS,,,,,RAW MACA POWDER-ORGANIC,,,,8.00,,,OZ,,,,Mar 20 2016 1,,,6.00,,,,
3,0080381390640,,,1,,,SUNFOOD SUPERFOODS,,,,,RAW RED MACA POWDER-ORGANIC,,,,8.00,,,OZ,,,,Mar 20 2016 1,,,6.00,,,,
4,0080381310118,,,1,,,SUNFOOD SUPERFOODS,,,,,RAW ORGANIC BLACK MACA POWDER,,,,4.00,,,OZ,,,,,,,5.00,,,,
5,0080381390612,,,1,,,SUNFOOD SUPERFOODS,,,,,MACA EXTREME,,,,8.00,,,OZ,,,,Apr 24 2016 1,,,6.00,,,,
6,0080381380601,,,1,,,SUNFOOD SUPERFOODS,,,,,AMAZON ACAI POWDER-ORGANIC,,,,4.00,,,OZ,,,,Mar 20 2016 1,,,5.00,,,,
7,0080381310170,,,1,,,SUNFOOD SUPERFOODS,,,,,ORGANIC ACAI MAQUI BOWL MIX,,,,6.00,,,OZ,,,,,,,6.00,,,,
