Positio,,UPC,,,Facings,,,Brand,,,,Long Description,,,,Size,,,UOM,,,Date,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0072474200924,,,1,,ALBA BOTANICA,,,,,,BODY SCRUB-REVITALIZING,,,9.00,,,OZ,,,,,,3.05,,,,,,
17,0072474200926,,,1,,ALBA BOTANICA,,,,,,BODY SCRUB-FIRMING,,,9.00,,,OZ,,,,,,3.05,,,,,,
18,0072474200938,,,1,,ALBA BOTANICA,,,,,,BODY SCRUB-HAWAIIAN-VOLCANIC CLAY,,,9.00,,,OZ,,,,,,3.05,,,,,,
19,0071833433800,,,1,,DESERT ESSENCE,,,,,,BODY SCRUB-DETOXIFYING-SEA SALT,,,6.70,,,FOZ,,,,,,3.00,,,,,,
Positio,,,UPC,,Facings,,,,Brand,,,,Long Description,,,,Size,,,UOM,,,Date,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0071833433801,,,1,,DESERT ESSENCE,,,,,,BODY SCRUB-HYDRATING-SUGAR,,,6.70,,,FOZ,,,,,,3.00,,,,,,
21,0071833433802,,,2,,DESERT ESSENCE,,,,,,BODY SCRUB-PINK HMLYN SALT & SUGAR,,,6.70,,,FOZ,,,,,,3.00,,,,,,
22,0063687422102,,,1,,EVERYONE,,,,,,BATH SOAK-GERANIUM & SWEET ORANGE,,,30.00,,,OZ,,,,,,4.15,,,,,,
23,0063687422100,,,1,,EVERYONE,,,,,,BATH SOAK-EUCALYPTUS & CITRUS,,,30.00,,,OZ,,,,,,4.15,,,,,,
24,0063687422150,,,1,,EVERYONE,,,,,,BUBBLE BATH-GERANIUM & SWEET ORANGE,,,20.30,,,FOZ,,,,,,2.75,,,,,,
25,0063687422151,,,1,,EVERYONE,,,,,,BUBBLE BATH-EUCALYPTUS & CITRUS,,,20.30,,,FOZ,,,,,,2.75,,,,,,
26,0005138188260,,,2,,AURA CACIA,,,,,,BUBBLE BATH LAVENDER HARVEST,,,13.00,,,FOZ,,,,,,2.55,,,,,,
27,0005138188263,,,1,,AURA CACIA,,,,,,BUBBLE BATH-COMFORTING GERANIUM,,,13.00,,,FOZ,,,,,,2.55,,,,,,
28,0005138188261,,,1,,AURA CACIA,,,,,,BUBBLE BATH-TRANQUILITY,,,13.00,,,FOZ,,,,,,2.55,,,,,,
29,0068773530246,,,1,,PACIFICA,,,,,,MIST-HAIR & BODY-PERSIAN ROSE,,,6.00,,,FOZ,,,,,,1.70,,,,,,
30,0068773530212,,,1,,PACIFICA,,,,,,MIST-HAIR & BODY-ISLAND VANILLA,,,6.00,,,FOZ,,,,,,1.70,,,,,,
31,0068773530247,,,1,,PACIFICA,,,,,,MIST-HAIR & BODY-FRENCH LILAC,,,6.00,,,FOZ,,,,,,1.70,,,,,,
32,0068773530210,,,1,,PACIFICA,,,,,,MIST-HAIR & BODY-TAHITIAN GARDENIA,,,6.00,,,FOZ,,,,,,1.70,,,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 8' 0.00"",    Height: 0' 10.50"",   Depth: 1' 1.00"",   Product: 7' 11.91""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0066738310110,,,1,,,NOURISH ORGANIC,,,,BODY WASH-TROPICAL COCONUT,,,,10.00,,,FOZ,,,,,,,2.40,,,,,
2,0066738310104,,,1,,,NOURISH ORGANIC,,,,BODY WASH-ALMOND VANILLA,,,,10.00,,,FOZ,,,,,,,2.40,,,,,
3,0066738310103,,,1,,,NOURISH ORGANIC,,,,BODY WASH-LAVENDER MINT,,,,10.00,,,FOZ,,,,,,,2.40,,,,,
4,0002836782881,,,1,,,KISS MY FACE,,,,BATH SHOWER GEL-PATCHOULI,,,,16.00,,,FOZ,,,,,,,3.30,,,,,
5,0002836782834,,,1,,,KISS MY FACE,,,,BATH SHOWER GEL-ANTI STRESS,,,,16.00,,,FOZ,,,,,,,3.30,,,,,
6,0079285090385,,,1,,,BURTS BEES,,,,BODY WASH-ROSEMARY & LEMON-UPLIFTING,,,,12.00,,,FOZ,,,,,,,2.20,,,,,
7,0079285090381,,,1,,,BURTS BEES,,,,BODY WASH-CITRUS & GINGER-ENERGIZING,,,,12.00,,,FOZ,,,,,,,2.20,,,,,
8,0079285090383,,,1,,,BURTS BEES,,,,BODY WASH-LAVENDER & HONEY-CALMING,,,,12.00,,,FOZ,,,,,,,2.20,,,,,
9,0063687409074,,,1,,,EO,,,,SHOWER GEL FRENCH LAVENDER,,,,16.00,,,FOZ,,,,,,,2.75,,,,,
10,0063687422292,,,1,,,EVERYONE,,,,SOAP-LAVENDER ALOE,,,,16.00,,,FOZ,,,,,,,3.10,,,,,
11,0063687412151,,,1,,,EVERYONE,,,,SOAP-EVERYONE-LAVENDER& ALOE,,,,32.00,,,FOZ,,,Jul 17 2016 1,,,,3.70,,,,,
