"Shelf: 5,   Length: 4' 0.00"",    Height: 0' 8.50"",   Depth: 1' 1.00"",   Product: 3' 11.95""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0063125753545,,,,1,,RENEW LIFE,,,,,,TRIPLE FIBER-ORGANIC,,,,12.00,,,OZ,,,,,,3.70,,,,,,
2,0063125715854,,,,1,,RENEW LIFE,,,,,,CLEAR FIBER-ORG,,,,9.50,,,OZ,,,,,,3.75,,,,,,
3,0069765820204,,,,1,,MANITOBA HARVEST,,,,,,PROTEIN-ORG-HEMP-POWDER-VANILLA,,,,16.00,,,OZ,,,,,,3.70,,,,,,
4,0069765820203,,,,1,,MANITOBA HARVEST,,,,,,MAX FIBER-POWDER-PROTEIN-HMP-CHOCOLT,,,,16.00,,,OZ,,,,,,3.70,,,,,,
5,0065801011138,,,,1,,GARDEN OF LIFE,,,,,,SUPER SEED,,,,21.00,,,OZ,,,,,,4.90,,,,,,
6,0065801011571,,,,1,,GARDEN OF LIFE,,,,,,RAW FIBER,,,,9.00,,,OZ,,,,,,3.70,,,,,,
7,0065801011570,,,,1,,GARDEN OF LIFE,,,,,,RAW FIBER,,,,1.77,,,LB,,,,,,5.00,,,,,,
8,0065801011840,,,,1,,GARDEN OF LIFE,,,,,,DR. FORMULATED ORG FIBER UNFLAVORED,,,,6.80,,,OZ,,,,,,6.40,,,,,,
9,0065801011841,,,,1,,GARDEN OF LIFE,,,,,,FIBER-PREBIOTIC-CITRUS-ORGANIC,,,,7.90,,,OZ,,,,,,6.40,,,,,,
10,0060949231052,,,,1,,MRM,,,,,,POWDER-ORG-FIBER,,,,9.03,,,OZ,,,,,,6.00,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 6,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 1.00"",   Product: 3' 11.87""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0080154151268,,,,1,,ORGANIC INDIA,,,,,,LIFT PSYLLIUM HUSK PACKET,,,,1.00,,,EA,,,,,,3.43,,,,,,
2,0080154151269,,,,1,,ORGANIC INDIA,,,,,,LIFT PSYLLIUM HUSK PACKETS,,,,15.00,,,CNT,,,,,,3.45,,,,,,
3,0073373905970,,,,2,,NOW,,,,,,PSYLLIUM HUSK 500 MG,,,,200.00,,,VCP,,,,,,2.75,,,,,,
4,0073373905975,,,,2,,NOW,,,,,,PSYLLIUM HUSK POWDER,,,,12.00,,,OZ,,,,,,3.20,,,,,,
5,0004635200106,,,,1,,YERBA PRIMA,,,,,,PSYLLIUM HUSKS,,,,180.00,,,CAP,,,,,,2.75,,,,,,
6,0004635200104,,,,1,,YERBA PRIMA,,,,,,PSYLLIUM HUSKS,,,,12.00,,,OZ,,,,,,3.20,,,,,,
7,0004635200108,,,,1,,YERBA PRIMA,,,,,,PSYLLIUM HUSKS-VEGETARIAN,,,,180.00,,,VCP,,,,,,2.75,,,,,,
8,0004635200199,,,,1,,YERBA PRIMA,,,,,,DAILY FIBER 625 MG,,,,180.00,,,CAP,,,,,,2.75,,,,,,
9,0004635200200,,,,1,,YERBA PRIMA,,,,,,DAILY FIBER,,,,12.00,,,OZ,,,,,,3.20,,,,,,
10,0004635200198,,,,1,,YERBA PRIMA,,,,,,DAILY FIBER ORANGE FLAVOR,,,,12.00,,,OZ,,,,,,3.20,,,,,,
11,0064667068104,,,,2,,SPROUTS,,,,,,SUPER FIBER TABS,,,,100.00,,,VTB,,,,,,2.55,,,,,,
12,0063125753409,,,,1,,RENEW LIFE,,,,,,FIBERSMART,,,,120.00,,,VCP,,,,,,2.55,,,,,,
13,0063125753547,,,,1,,RENEW LIFE,,,,,,TRIPLE FIBER-ORGANIC,,,,150.00,,,CAP,,,,,,2.55,,,,,,
