Positio,,,UPC,,,Facings,,,,Brand,,,,,,Long Description,,,,Size,,,,UOM,,,Date,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0070432610030,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-3N-NATURAL DRK BROWN,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
4,0070432610040,,,,2,,,TINTS OF NATURE,,,,,,HAIR COLOUR-4N-MATURAL MED BROWN,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
5,0070432610120,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-4M-MED MAHOGANY BRN,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
6,0070432610212,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-4CH-RICH CHOCOLATE BRN,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
Positio,,,,UPC,,,Facings,,,,Brand,,,,,,Long Description,,,,Size,,,,UOM,,,Date,,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0070432610050,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-5N-NATURAL LIGHT BROWN,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
8,0070432610100,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-5D-LT GOLDEN BROWN,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
9,0070432610180,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-5R-RICH COPPER BROWN,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
10,0070432610060,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-6N-NATURAL DK BLONDE,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
11,0070432610070,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-7N-NATURAL MED BLONDE,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
12,0070432610080,,,,1,,,TINTS OF NATURE,,,,,,HAIR COLOUR-8N-NATURAL LIGHT BLONDE,,,,,4.40,,,,FOZ,,,,,,3.65,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 1.00"",   Product: 3' 11.97""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0066117601012,,,,1,,,NATURTINT,,,,,,HAIR COLOR-8G-SANDY GOLDEN BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
2,0066117601005,,,,1,,,NATURTINT,,,,,,HAIR COLOR-7N-HAZELNUT BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
3,0066117601010,,,,1,,,NATURTINT,,,,,,HAIR COLOR-6G-DARK GOLD BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
4,0066117601011,,,,1,,,NATURTINT,,,,,,HAIR COLOR-7G-GOLDEN BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
5,0066117601013,,,,1,,,NATURTINT,,,,,,HAIR COLOR-4M-MOHAGANY CHESTNUT,,,,,1.00,,,,EA,,,,,,3.50,,,,,
6,0066117601014,,,,1,,,NATURTINT,,,,,,HAIR COLOR-5M-LT MOHAGANY CHESTNUT,,,,,1.00,,,,EA,,,,,,3.50,,,,,
7,0066117601018,,,,1,,,NATURTINT,,,,,,HAIR COLOR-9R-FIRE RED,,,,,1.00,,,,EA,,,,,,3.50,,,,,
8,0066117601016,,,,1,,,NATURTINT,,,,,,HAIR COLOR-7C-TERRACOTTA BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
9,0066117601017,,,,1,,,NATURTINT,,,,,,HAIR COLOR-8C-COPPER BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
10,0066117601019,,,,1,,,NATURTINT,,,,,,HAIR COLOR-8A-ASH BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
11,0066117601006,,,,1,,,NATURTINT,,,,,,HAIR COLOR-8N-WHEAT GERM BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
12,0066117601007,,,,1,,,NATURTINT,,,,,,HAIR COLOR-9N-HONEY BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
13,0066117601008,,,,1,,,NATURTINT,,,,,,HAIR COLOR-10N-LIGHT DAWN BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 6,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 1.00"",   Product: 3' 11.97""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0066117601001,,,,1,,,NATURTINT,,,,,,HAIR COLOR-1N-EBONY BLACK,,,,,1.00,,,,EA,,,,,,3.50,,,,,
2,0066117601132,,,,2,,,NATURTINT,,,,,,HAIR COLOR-2N-BLACK BROWN,,,,,1.00,,,,EA,,,,,,3.50,,,,,
3,0066117601002,,,,2,,,NATURTINT,,,,,,HAIR COLOR-3N-DARK CHESTNUT BROWN,,,,,1.00,,,,EA,,,,,,3.50,,,,,
4,0066117601090,,,,2,,,NATURTINT,,,,,,HAIR COLOR-4N-NATURAL CHESTNUT,,,,,1.00,,,,EA,,,,,,3.50,,,,,
5,0066117601003,,,,2,,,NATURTINT,,,,,,HAIR COLOR-5N-LIGHT CHESTNUT BROWN,,,,,1.00,,,,EA,,,,,,3.50,,,,,
6,0066117601091,,,,1,,,NATURTINT,,,,,,HAIR COLOR-4G-GOLDEN CHESTNUT,,,,,1.00,,,,EA,,,,,,3.50,,,,,
7,0066117601009,,,,2,,,NATURTINT,,,,,,HAIR COLOR-5G-LIGHT GOLD CHESTNUT,,,,,1.00,,,,EA,,,,,,3.50,,,,,
8,0066117601004,,,,1,,,NATURTINT,,,,,,HAIR COLOR-6N-DARK BLONDE,,,,,1.00,,,,EA,,,,,,3.50,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positio,,,,UPC,,,Facings,,,,Brand,,,,,,Long Description,,,,Size,,,,UOM,,,Date,,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 7,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 1.00"",   Product: 3' 11.99""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0400163809563,,,,1,,,WELEDA,,,,,,ROSEMARY CONDITIONING HAIR OIL,,,,,1.70,,,,FOZ,,,,,,1.95,,,,,
2,0063408431001,,,,1,,,BADGER BALM,,,,,,ARGAN HAIR OIL FOR DRY DAMAGED HAIR,,,,,2.00,,,,FOZ,,,,,,1.60,,,,,
3,0063408431002,,,,1,,,BADGER BALM,,,,,,JOJOBA HAIR OIL FOR DRY SCALP,,,,,2.00,,,,FOZ,,,,,,1.60,,,,,
4,0001878798001,,,,1,,,DR BRONNERS,,,,,,HAIR CREME-ORG-LAVENDER COCONUT,,,,,6.00,,,,FOZ,,,,,,1.75,,,,,
5,0001878798002,,,,1,,,DR BRONNERS,,,,,,HAIR CREME-ORG-PEPPERMINT,,,,,6.00,,,,FOZ,,,,,,1.75,,,,,
6,0007834740008,,,,1,,,WILD,,,,,,SPRAY-SEA SALT-SAGE & SANDLEWOOD,,,,,4.00,,,,FOZ,,,,,,1.90,,,,,
7,0007834740007,,,,1,,,WILD,,,,,,CONDITIONER-LEAVE-IN-SAGE & SANDLWD,,,,,4.00,,,,FOZ,,,,,,1.90,,,,,
8,0007834740005,,,,1,,,WILD,,,,,,SHAMPOO-SAGE & SANDALWOOD,,,,,16.00,,,,FOZ,,,,,,2.75,,,,,
9,0007834740006,,,,1,,,WILD,,,,,,CONDITIONER-SAGE & SANDALWOOD,,,,,16.00,,,,FOZ,,,,,,2.75,,,,,
10,0007834740001,,,,1,,,WILD,,,,,,SHAMPOO-ROSEMARY & LEMONGRASS,,,,,16.00,,,,FOZ,,,,,,2.75,,,,,
11,0007834740002,,,,1,,,WILD,,,,,,CONDITIONER-ROSEMARY & LEMONGRASS,,,,,16.00,,,,FOZ,,,,,,2.75,,,,,
12,0007834740003,,,,1,,,WILD,,,,,,SHAMPOO-ROSE & THYME,,,,,16.00,,,,FOZ,,,,,,2.75,,,,,
13,0007834740004,,,,1,,,WILD,,,,,,CONDITIONER-ROSE & THYME,,,,,16.00,,,,FOZ,,,,,,2.75,,,,,
14,0071833433354,,,,1,,,DESERT ESSENCE,,,,,,MASK-HAIR-ANTI-BREAKAGE,,,,,5.10,,,,FOZ,,,,,,2.95,,,,,
15,0071833433350,,,,1,,,DESERT ESSENCE,,,,,,SHAMPOO-ANTI-BREAKAGE,,,,,10.00,,,,FOZ,,,,,,3.25,,,,,
16,0071833433352,,,,1,,,DESERT ESSENCE,,,,,,CONDITIONER-ANTI-BREAKAGE,,,,,10.00,,,,FOZ,,,,,,3.25,,,,,
17,0071833433325,,,,1,,,DESERT ESSENCE,,,,,,SHAMPOO-SMOOTHING,,,,,10.00,,,,FOZ,,,,,,3.25,,,,,
18,0071833433327,,,,1,,,DESERT ESSENCE,,,,,,CONDITIONER-SMOOTHING,,,,,10.00,,,,FOZ,,,,,,3.25,,,,,
19,0071833433329,,,,1,,,DESERT ESSENCE,,,,,,SMOOTHING PRIMER,,,,,6.50,,,,FOZ,,,,,,1.95,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 8,   Length: 4' 0.00"",    Height: 1' 2.00"",   Depth: 1' 1.00"",   Product: 3' 11.90""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0085693200733,,,,1,,,ANDALOU NATURALS,,,,,,SHAMPOO-CANACELL-DAILY DOSE,,,,,8.50,,,,FOZ,,,,,,3.30,,,,,
2,0085693200734,,,,1,,,ANDALOU NATURALS,,,,,,CONDITIONER-CANNACELL-DAILY DOSE,,,,,8.50,,,,FOZ,,,,,,3.30,,,,,
3,0085693200730,,,,1,,,ANDALOU NATURALS,,,,,,SHAMPOO-CANNACELL-HERB-MOISTURE HIT,,,,,8.50,,,,FOZ,,,,,,3.30,,,,,
4,0085693200731,,,,1,,,ANDALOU NATURALS,,,,,,CONDITIONER-CANNACELL-MOISTURE HIT,,,,,8.50,,,,FOZ,,,,,,3.30,,,,,
5,0084074901814,,,,1,,,MINERAL FUSION,,,,,,SHAMPOO-SMOOTHING,,,,,8.50,,,,FOZ,,,,,,2.85,,,,,
6,0084074901820,,,,1,,,MINERAL FUSION,,,,,,CONDITIONER-SMOOTHING,,,,,8.50,,,,FOZ,,,,,,2.85,,,,,
7,0084074900018,,,,1,,,MINERAL FUSION,,,,,,SHAMPOO-LASTING COLOR,,,,,8.50,,,,FOZ,,,,,,2.85,,,,,
8,0084074900015,,,,1,,,MINERAL FUSION,,,,,,CONDITIONER-LASTING COLOR,,,,,8.50,,,,FOZ,,,,,,2.85,,,,,
9,0084074901738,,,,1,,,MINERAL FUSION,,,,,,SHAMPOO-VOLUMIZING,,,,,8.50,,,,FOZ,,,,,,2.85,,,,,
10,0084074901748,,,,1,,,MINERAL FUSION,,,,,,CONDITIONER-VOLUMIZING,,,,,8.50,,,,FOZ,,,,,,2.85,,,,,
11,0071623718431,,,,1,,,GIOVANNI,,,,,,SHAMPOO-AVACADO & OLIVE OIL,,,,,24.00,,,,FOZ,,,,,,2.80,,,,,
12,0071623718432,,,,1,,,GIOVANNI,,,,,,CONDITIONER-AVACADO & OLIVE OIL,,,,,24.00,,,,FOZ,,,,,,2.80,,,,,
13,0071623718400,,,,1,,,GIOVANNI,,,,,,SHAMPOO-2 CHIC-ULTRA MOIST,,,,,8.50,,,,FOZ,,,,,,3.00,,,,,
14,0071623718401,,,,1,,,GIOVANNI,,,,,,CONDITIONER-2 CHIC-ULTRA MOIST,,,,,8.50,,,,FOZ,,,,,,3.00,,,,,
Positio,,,,UPC,,,Facings,,,,Brand,,,,,,Long Description,,,,Size,,,,UOM,,,Date,,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0071623718406,,,,1,,,GIOVANNI,,,,,,2 CHIC-DUAL ACTION LEAVE IN SPRAY,,,,,4.00,,,,FOZ,,,,,,1.50,,,,,
16,0071623718405,,,,1,,,GIOVANNI,,,,,,2 CHIC LEAVE IN COND & STYLING ELIXR,,,,,4.00,,,,FOZ,,,,,,1.50,,,,,
17,0071623718403,,,,1,,,GIOVANNI,,,,,,2 CHIC SUPER POTION ANTI FRIZZ SERUM,,,,,2.75,,,,FOZ,,,,,,1.30,,,,,
18,0071623718402,,,,1,,,GIOVANNI,,,,,,HAIR MASK-2 CHIC-ULTRA-MOIST DEEP,,,,,5.00,,,,FOZ,,,,,,1.88,,,,,
