Positio,,,UPC,,,,Facings,,,Brand,,,,,,,,Long Description,,,,,,Size,,,,,UOM,,,,Date,,,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0007628003355,,,,1,,,SOLARAY,,,,,,,,GP TART CHERRY 425 MG,,,,,,90.00,,,,VCP,,,,,Jun  5 2016 1,,,,,,1.98,,,,,
2,,0007628003900,,,,1,,,SOLARAY,,,,,,,,GP VALERIAN ROOT EXT-50 MG,,,,,,60.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
3,,0007628000110,,,,1,,,SOLARAY,,,,,,,,ALFALFA 500 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
4,,0007628000130,,,,1,,,SOLARAY,,,,,,,,ASTRAGALUS 400 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
5,,0007628001418,,,,1,,,SOLARAY,,,,,,,,AVENA SATIVA 350 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
6,,0007628000170,,,,1,,,SOLARAY,,,,,,,,BLACK COHOSH 540 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
7,,0007628000185,,,,1,,,SOLARAY,,,,,,,,BLADDERWRACK 580 MG,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
8,,0007628000190,,,,1,,,SOLARAY,,,,,,,,BLESSED THISTLE,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
9,,0007628001120,,,,1,,,SOLARAY,,,,,,,,CASCARA SAGRADA,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
10,,0007628001125,,,,1,,,SOLARAY,,,,,,,,CATS CLAW BARK,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.52,,,,,
11,,0007628001130,,,,1,,,SOLARAY,,,,,,,,CAYENNE 40000,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
12,,0007628001134,,,,1,,,SOLARAY,,,,,,,,CAYENNE 100000,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
13,,0007628001140,,,,1,,,SOLARAY,,,,,,,,CAYENNE WITH GARLIC,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
14,,0007628008100,,,,1,,,SOLARAY,,,,,,,,COOL CAYENNE 40000HU,,,,,,90.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
15,,0007628008102,,,,1,,,SOLARAY,,,,,,,,COOL CAYENNE EXTRA HOT,,,,,,90.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
16,,0007628001154,,,,1,,,SOLARAY,,,,,,,,CELERY SEED,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
17,,0007628001180,,,,1,,,SOLARAY,,,,,,,,CHICKWEED,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
18,,0007628001210,,,,1,,,SOLARAY,,,,,,,,DANDELION ROOT,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
19,,0007628001220,,,,1,,,SOLARAY,,,,,,,,DEVILS CLAW,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
20,,0007628001235,,,,1,,,SOLARAY,,,,,,,,DONG QUAI,,,,,,100.00,,,,CAP,,,,,Jun  5 2016 1,,,,,,2.00,,,,,
