9,0085023200503,,,,1,,,VITAL PROTEINS,,,,,COLLAGEN-CREAMER-VANILLA,,,,,10.60,,,OZ,,,,,,,,3.72,,,,,,,
10,0085023200502,,,,1,,,VITAL PROTEINS,,,,,COLLAGEN-CREAMER-COCONUT,,,,,10.30,,,OZ,,,,,,,,3.72,,,,,,,
11,0085676900613,,,,1,,,PRIMAL KITCHEN,,,,,COLLAGEN FUEL-VANILLA COCONUT,,,,,13.10,,,OZ,,,,,,,,4.54,,,,,,,
12,0085676900612,,,,1,,,PRIMAL KITCHEN,,,,,COLLAGEN FUEL-CHOCOLATE COCONUT,,,,,13.90,,,OZ,,,,,,,,4.54,,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 4' 0.00"",    Height: 0' 3.50"",   Depth: 1' 1.10"",   Product: 4' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0065801011919,,,,1,,,GARDEN OF LIFE,,,,,BAR-ORG-PROTEIN-SPORT-CHOCOLATE,,,,,2.70,,,OZ,,,,,,,,5.87,,,,,,,
2,0065801011918,,,,1,,,GARDEN OF LIFE,,,,,BAR-ORG-PROTN-SPRT-PNT BTTR CHOC,,,,,2.70,,,OZ,,,,,,,,5.87,,,,,,,
3,0065801011920,,,,1,,,GARDEN OF LIFE,,,,,BAR-ORG-PROTEIN-SPRT-SEA SLT CRML,,,,,2.50,,,OZ,,,,,,,,5.87,,,,,,,
4,0065801011921,,,,1,,,GARDEN OF LIFE,,,,,BAR-ORG-PROTEIN-SPORT-CHOCO MINT,,,,,2.50,,,OZ,,,,,,,,5.87,,,,,,,
5,0083876600837,,,,2,,,VEGA,,,,,SPORTS BAR-CRISPY MINT CHOCOLATE,,,,,2.50,,,OZ,,,,,,,,5.95,,,,,,,
6,0083876600832,,,,2,,,VEGA,,,,,SPORT PROTEIN BAR-CRNCHY PNUT BTTR,,,,,2.50,,,OZ,,,,,,,,5.95,,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 6,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 1.00"",   Product: 3' 11.98""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0065801012061,,,,1,,,GARDEN OF LIFE,,,,,ORGANIC BLACKBRRY CHRRY PRE WORKOUT,,,,,0.20,,,OZ,,,,,,,,2.95,,,,,,,
2,0065801012064,,,,1,,,GARDEN OF LIFE,,,,,ORGANIC BLACKBRRY CHRRY PRE WORKOUT,,,,,2.40,,,OZ,,,,,,,,3.45,,,,,,,
3,0065801012065,,,,1,,,GARDEN OF LIFE,,,,,PREWORKOUT-SPORT-BLCKBRRY CHRRY,,,,,8.10,,,OZ,,,,,,,,3.72,,,,,,,
4,0065801012058,,,,1,,,GARDEN OF LIFE,,,,,PREWORKOUT-SPORT-BLACKBRRY PCKT,,,,,0.50,,,OZ,,,,,,,,2.95,,,,,,,
5,0065801011946,,,,1,,,GARDEN OF LIFE,,,,,PREWORKOUT-SPORT-BLACKBRRY PCKTS,,,,,6.10,,,OZ,,,,,,,,3.40,,,,,,,
6,0065801011945,,,,2,,,GARDEN OF LIFE,,,,,PREWORKOUT-SPORT-BLACKBRRY,,,,,15.30,,,OZ,,,,,,,,3.74,,,,,,,
7,0065801011947,,,,1,,,GARDEN OF LIFE,,,,,POST WORKOUT-SPORT-RECOVRY-BLCKBRRY,,,,,15.70,,,OZ,,,,,,,,3.74,,,,,,,
8,0083876600723,,,,1,,,VEGA,,,,,ENERGIZER-SUGAR FREE-ACAI BERRY-PKT,,,,,0.11,,,OZ,,,,,,,,1.20,,,,,,,
9,0083876600724,,,,1,,,VEGA,,,,,ENERGIZER-SUGAR FREE-ACAI BERRY-CS,,,,,3.40,,,OZ,,,,,,,,3.04,,,,,,,
10,0083876600729,,,,1,,,VEGA,,,,,ENERGIZER-ACAI BERRY-SUGAR FREE,,,,,4.00,,,OZ,,,,,,,,2.85,,,,,,,
11,0083876600741,,,,1,,,VEGA,,,,,ENERGIZER-ACAI BERRY-PREMIUM-PKT,,,,,0.60,,,OZ,,,,,,,,1.20,,,,,,,
12,0083876600742,,,,1,,,VEGA,,,,,ENERGIZER-ACAI BERRY-PREMIUM-CASE,,,,,7.80,,,OZ,,,,,,,,3.03,,,,,,,
13,0083876600744,,,,1,,,VEGA,,,,,ENERGIZER-ACAI BERRY-PREMIUM,,,,,16.20,,,OZ,,,,,,,,3.63,,,,,,,
14,0083876600737,,,,1,,,VEGA,,,,,ENERGIZER-STRWBRRY LEMONADE-PKT,,,,,0.60,,,OZ,,,,,,,,1.20,,,,,,,
Positio,,,,UPC,,Facings,,,,,Brand,,,,,,Long Description,,,Size,,,,UOM,,,,Date,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0083876600738,,,,1,,,VEGA,,,,,ENERGIZER-STRWBRRY LEMONADE-PREM-CS,,,,,,7.70,,OZ,,,,,,,,,3.03,,,,,,
16,0083876600740,,,,1,,,VEGA,,,,,ENERGIZER-STRWBRRY LEMONADE-PREMIUM,,,,,,16.10,,OZ,,,,,,,,,3.63,,,,,,
17,0083876600922,,,,1,,,VEGA,,,,,RECOVERY ACCELERATOR TROPICAL,,,,,,0.96,,OZ,,,,May 15 2016 1,,,,,1.20,,,,,,
18,0083876600912,,,,1,,,VEGA,,,,,RECOVERY ACCELERATOR TROPICAL,,,,,,11.40,,OZ,,,,May 15 2016 1,,,,,3.06,,,,,,
19,0083876600902,,,,1,,,VEGA,,,,,RECOVERY ACCELERATOR TROPICAL,,,,,,19.00,,OZ,,,,May 15 2016 1,,,,,3.62,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 7,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 1.00"",   Product: 3' 11.67""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0085654100235,,,,1,,,EBOOST,,,,,PRE WORKOUT-BERRY MELON PCKT,,,,,,0.42,,OZ,,,,Jul  3 2016 1,,,,,2.95,,,,,,
2,0085654100242,,,,1,,,EBOOST,,,,,PRE WORKOUT-BERRY MEON CS,,,,,,6.30,,OZ,,,,Jul  3 2016 1,,,,,3.05,,,,,,
3,0085654100243,,,,1,,,EBOOST,,,,,PRE WORKOUT-BERRY MELON,,,,,,8.50,,OZ,,,,Jul 10 2016 1,,,,,3.60,,,,,,
4,0085654100246,,,,1,,,EBOOST,,,,,PRE WORKOUT-TROPICAL PUNCH PCKT,,,,,,0.42,,OZ,,,,Jul  3 2016 1,,,,,2.95,,,,,,
5,0085654100245,,,,1,,,EBOOST,,,,,PRE WORKOUT-TROPICAL PUNCH CS,,,,,,6.40,,OZ,,,,Jul  3 2016 1,,,,,3.05,,,,,,
6,0085654100244,,,,1,,,EBOOST,,,,,PRE WORKOUT-TROPICAL PUNCH,,,,,,8.50,,OZ,,,,Jul 17 2016 1,,,,,3.60,,,,,,
7,0074371501798,,,,1,,,BLUEBONNET,,,,,POWDER-PRE WORK OUT-LEMON-PKT,,,,,,0.35,,OZ,,,,,,,,,1.35,,,,,,
8,0074371501799,,,,1,,,BLUEBONNET,,,,,POWDER-PRE WORK OUT-LEMON-CS,,,,,,7.00,,OZ,,,,,,,,,2.88,,,,,,
9,0074371501801,,,,1,,,BLUEBONNET,,,,,PRE WORKOUT-SAVAGE LEMON,,,,,,0.66,,LB,,,,May 15 2016 1,,,,,3.70,,,,,,
10,0074371501800,,,,1,,,BLUEBONNET,,,,,POWDER-PRE WORKOUT-GRAPE,,,,,,0.66,,LB,,,,May 15 2016 1,,,,,3.70,,,,,,
11,0060949271048,,,,1,,,MRM,,,,,ENERGY-ORG-PRE-WORKOUT,,,,,,8.50,,OZ,,,,,,,,,3.72,,,,,,
12,0060949273020,,,,1,,,MRM,,,,,RECOVERY-ORG-POST-WORKOUT,,,,,,10.60,,OZ,,,,,,,,,3.72,,,,,,
13,0060949273022,,,,1,,,MRM,,,,,DRIVEN PRE-WORKOUT BOOST MIXED BERRI,,,,,,12.30,,OZ,,,,May 15 2016 1,,,,,3.70,,,,,,
14,0060949273025,,,,1,,,MRM,,,,,PRE WORKOUT-DRIVEN-STRAWBERRY KIWI,,,,,,12.30,,OZ,,,,May 15 2016 1,,,,,3.70,,,,,,
15,0060949271043,,,,1,,,MRM,,,,,RELOAD POST-WORKOUT RECOVERY WATERME,,,,,,11.60,,OZ,,,,May 15 2016 1,,,,,3.70,,,,,,
