"Project Type: Reset 04/02/2018 Buyer: Danielle Minchella x643 Analyst: Megan McDermott x322
Location(s):
Notes:",,,,,,,,,"9/13/2018
HBA Department
26445 Sun Care-Aloe-Bug-04' H-Released
",,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 1",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 10.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,First,,,Product,,,
Positio,,UPC,,,Facings,,Brand,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,,
11,0081452702088,,,1,,GODDESS GARDEN,,,,SUNSCREEN-SPORT-STICK-SPF 30,,,,0.60,,,OZ,,,,,,,3.00,,,,
12,0089806200167,,,1,,GODDESS GARDEN,,,,SUNSCREEN-SPORT-SPF 30,,,,3.40,,,OZ,,,,May  1 2016 1,,,3.00,,,,
Positio,,,UPC,,Facings,,,Brand,,,,,Long Description,,,Size,,,UOM,,,,Date,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0089806200165,,,1,,GODDESS GARDEN,,,,SUNSCREEN-NATURAL-SPORT-SPF 30,,,,6.00,,,OZ,,,,May  1 2016 1,,,2.10,,,,
14,0089806200125,,,1,,GODDESS GARDEN,,,,SUNSCREEN-NATURAL-SPORT-50 SPF,,,,3.40,,,OZ,,,,,,,3.00,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,17,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 1.00"",   Product: 3' 11.90""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0007834730044,,,2,,NATURE'S GATE,,,,KIDS BROAD SPECTRUM SPF 50 SUNSCREEN,,,,4.00,,,FOZ,,,,May  1 2016 1,,,3.00,,,,
2,0007834730014,,,1,,NATURE'S GATE,,,,MNRL SPRT BROAD SPCTRM SPF 20 SNSCRN,,,,4.00,,,FOZ,,,,May  1 2016 1,,,3.00,,,,
3,0007834775206,,,1,,NATURE'S GATE,,,,FACE BROAD SPECTRUM SPF 25 SUNSCREEN,,,,4.00,,,FOZ,,,,May  1 2016 1,,,3.00,,,,
4,0007834730026,,,2,,NATURE'S GATE,,,,SPORT BROAD SPECTRUM SPF 50 SUNSCRN,,,,4.00,,,FOZ,,,,May  1 2016 1,,,3.00,,,,
5,0007834730075,,,1,,NATURE'S GATE,,,,AQUA BROAD SPCTRM SPF 50 SUNSCREEN,,,,4.00,,,FOZ,,,,May  1 2016 1,,,3.00,,,,
6,0085257000652,,,1,,ALL GOOD PRODUCTS,,,,SUNSCREEN-KIDS-WATER RESIST-SPF 30,,,,3.00,,,FOZ,,,,,,,2.35,,,,
