Positio,,UPC,,,Facings,,Brand,,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0002639583032,,,1,,LILY OF THE DESERT,,,,,JUICE-ALOE VERA-INNER FILET,,,,32.00,,,FOZ,,,,Jul 10 2016 1,,,3.83,,,,
13,0002639530032,,,1,,LILY OF THE DESERT,,,,,ALOE VERA JUICE WHOLE LEAF,,,,32.00,,,FOZ,,,,Jul 10 2016 1,,,3.55,,,,
14,0002639584032,,,1,,LILY OF THE DESERT,,,,,ALOE VERA JUICE WHOLE LEAF PRES,,,,32.00,,,FOZ,,,,Jul 10 2016 1,,,3.83,,,,
15,0002639585032,,,1,,LILY OF THE DESERT,,,,,ALOE VERA JUICE CONCENTRATE PRESERVA,,,,32.00,,,FOZ,,,,Jul 10 2016 1,,,3.83,,,,
16,0002639510016,,,1,,LILY OF THE DESERT,,,,,ALOE VERA GEL,,,,16.00,,,OZ,,,,Jul 10 2016 1,,,2.78,,,,
17,0002639510032,,,1,,LILY OF THE DESERT,,,,,ALOE VERA GEL,,,,32.00,,,OZ,,,,Jul 10 2016 1,,,3.55,,,,
18,0002639520032,,,1,,LILY OF THE DESERT,,,,,ALOE VERA GEL WHOLE LEAF,,,,32.00,,,OZ,,,,Jul 10 2016 1,,,3.55,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 5.00"",   Product: 3' 11.91""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0064667068008,,,2,,SUNFLOWER,,,,,ALOE VERA JUICE-PLAIN,,,,32.00,,,FOZ,,,,Jul 10 2016 1,,,3.65,,,,
2,0064667067283,,,1,,SUNFLOWER,,,,,ALOE VERA JUICE-PLAIN,,,,128.00,,,FOZ,,,,Jul 10 2016 1,,,7.12,,,,
3,0064667068007,,,2,,SUNFLOWER,,,,,ALOE VERA JUICE-CRANBERRY,,,,32.00,,,FOZ,,,,Jul 10 2016 1,,,3.65,,,,
4,0064667067284,,,1,,SUNFLOWER,,,,,ALOE VERA JUICE-CRANBERRY,,,,128.00,,,FOZ,,,,Jul 10 2016 1,,,7.12,,,,
5,0064667068204,,,1,,SUNFLOWER,,,,,ALOE VERA JUICE-CHERRY,,,,32.00,,,FOZ,,,,Jul 10 2016 1,,,3.65,,,,
6,0064667067287,,,2,,SUNFLOWER,,,,,ALOE VERA GEL-PLAIN,,,,32.00,,,FOZ,,,,Jul 10 2016 1,,,3.65,,,,
7,0064667067288,,,1,,SUNFLOWER,,,,,ALOE VERA GEL-PLAIN,,,,128.00,,,FOZ,,,,Jul 10 2016 1,,,7.12,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 4' 0.00"",    Height: 0' 5.50"",   Depth: 1' 6.00"",   Product: 4' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0004746900800,,,1,,NATROL,,,,,GUARANA 200MG,,,,90.00,,,CAP,,,,Jul 10 2016 1,,,2.00,,,,
2,0063342203101,,,1,,HOST DEFENSE,,,,,CORDYCEPS,,,,30.00,,,VCP,,,,Jul 10 2016 1,,,1.90,,,,
3,0063342203102,,,1,,HOST DEFENSE,,,,,CORDYCEPS,,,,60.00,,,VCP,,,,Jul 10 2016 1,,,2.13,,,,
4,0065801011393,,,1,,GARDEN OF LIFE,,,,,RAW KOMBUCHA,,,,60.00,,,CAP,,,,Jul 10 2016 1,,,2.38,,,,
5,0089239200295,,,1,,ORGANIC MUSHROOM NUTRITION,,,,,ENERGY SUPPLEMENT POWDER PACKET,,,,0.20,,,OZ,,,,Jul 10 2016 1,,,1.15,,,,
6,0089239200289,,,1,,ORGANIC MUSHROOM NUTRITION,,,,,ENERGY SUPPLEMENT POWDER PACKETS-CS,,,,2.08,,,OZ,,,,Jul 10 2016 1,,,2.45,,,,
7,0085898200400,,,1,,GOOD DAY CHOCOLATE,,,,,CHOCOLATE-ENERGY,,,,0.99,,,OZ,,,,,,,1.30,,,,
8,0085376000229,,,2,,LIFESEASONS,,,,,ENERGY VITALITY SUPPORT,,,,14.00,,,VCP,,,,Jul 10 2016 1,,,1.67,,,,
Positio,,,UPC,,Facings,,,,Brand,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0085376000223,,,1,,LIFESEASONS,,,,,ENERGY VITALITY SUPPORT,,,,60.00,,,VCP,,,,,,,2.22,,,,
10,0085324400320,,,1,,YOUTHEORY,,,,,REVIVE NATURAL ENERGY,,,,120.00,,,TAB,,,,Jul 10 2016 1,,,3.02,,,,
11,0076570452593,,,1,,HERBS ETC,,,,,VIBRANT ENERGY,,,,30.00,,,SG,,,,Jul 10 2016 1,,,1.87,,,,
12,0075106339850,,,1,,GAIA HERBS,,,,,ENERGY AND VITALITY LIQUID PHYTO CAP,,,,60.00,,,VCP,,,,Jul 10 2016 1,,,2.01,,,,
13,0085573500100,,,1,,REDD REMEDIES,,,,,TRUE ENERGY,,,,50.00,,,CAP,,,,Jul 10 2016 1,,,2.66,,,,
14,0071036326239,,,1,,IRWIN NATURALS,,,,,ADVANCED GINZA PLUS,,,,75.00,,,SG,,,,Jul 10 2016 1,,,2.50,,,,
15,0071036326243,,,2,,IRWIN NATURALS,,,,,TRIPLE BOOST,,,,75.00,,,CAP,,,,Jul 10 2016 1,,,2.50,,,,
16,0071036358601,,,1,,IRWIN NATURALS,,,,,YERBA MATE ENERGY BURST,,,,60.00,,,SG,,,,,,,2.50,,,,
