"Merchandise BIO-K (6 pack) & 
GoodBelly (4 pack) behind single bottles
22,0069765820102,,,,1,,MANITOBA HARVEST,,,,,HEMP SEED OIL-ORGANIC,,,,,16.90,,,FOZ,,,Apr  3 2016 1,,,,,2.30,,,,
23,0073373901880,,,,1,,NOW,,,,,WHEAT GERM OIL PURE,,,,,16.00,,,OZ,,,,,,,,2.65,,,,
24,0006199867975,,,,1,,FLORA,,,,,OMEGA SPORT PLUS,,,,,8.50,,,FOZ,,,,,,,,2.50,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 5' 7.00"",    Height: 0' 5.50"",   Depth: 1' 4.00"",   Product: 5' 6.97""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0079001103021,,,,1,,JARROW FORMULAS,,,,,YUM YUM DOPHILUS,,,,,60.00,,,TAB,,,Apr  3 2016 1,,,,,3.35,,,,
2,0079001132005,,,,1,,JARROW FORMULAS,,,,,PROBIOTIC-YUM-YUM DOPHILUS-VALUE SIZ,,,,,120.00,,,TAB,,,Apr  3 2016 1,,,,,3.25,,,,
3,0079001103013,,,,1,,JARROW FORMULAS,,,,,JARRO DOHPILUS FOR BABY,,,,,2.50,,,OZ,,,Apr  3 2016 1,,,,,2.10,,,,
4,0001579403053,,,,1,,COUNTRY LIFE,,,,,MAXI BABY DOPHILUS,,,,,2.00,,,OZ,,,Apr  3 2016 1,,,,,2.25,,,,
5,0006199861966,,,,1,,UDOS CHOICE,,,,,PROBIOTIC-INFANTS,,,,,2.64,,,OZ,,,Apr  3 2016 1,,,,,2.25,,,,
6,0006199861964,,,,1,,UDOS CHOICE,,,,,PROBIOTIC-CHILDRENS BLEND,,,,,60.00,,,CAP,,,Apr  3 2016 1,,,,,2.25,,,,
7,0005149410214,,,,1,,MEGAFOOD,,,,,KIDS N' US MEGA FLORA,,,,,30.00,,,CAP,,,Apr  3 2016 1,,,,,2.15,,,,
8,0005149410215,,,,1,,MEGAFOOD,,,,,MEGAFLORA-KIDS N' US,,,,,60.00,,,CAP,,,Apr  3 2016 1,,,,,2.40,,,,
9,0002124550200,,,,1,,KAL,,,,,DINO-DOPHILUS PROBIOTIC 2 BILLION,,,,,60.00,,,CHW,,,Apr  3 2016 1,,,,,2.55,,,,
10,0073373902936,,,,1,,NOW,,,,,BERRY DOPHILUS,,,,,60.00,,,CHW,,,Apr  3 2016 1,,,,,2.00,,,,
11,0003367414242,,,,1,,NATURE'S WAY,,,,,PRIMADOPHILUS KIDS ORANGE,,,,,30.00,,,CHW,,,Apr  3 2016 1,,,,,1.85,,,,
12,0003367414243,,,,1,,NATURE'S WAY,,,,,PRIMADOPHILUS KIDS CHERRY,,,,,30.00,,,CHW,,,Apr  3 2016 1,,,,,1.85,,,,
13,0003367411035,,,,1,,NATURE'S WAY,,,,,PRIMADOPHILUS-KIDS-CHERRY,,,,,60.00,,,CAP,,,,,,,,2.05,,,,
14,0003367406881,,,,1,,NATURE'S WAY,,,,,PRIMADOPHILUS CHILDREN,,,,,5.00,,,OZ,,,Apr  3 2016 1,,,,,2.60,,,,
15,0065801011569,,,,1,,GARDEN OF LIFE,,,,,RAW PROBIOTICS-KIDS,,,,,3.40,,,OZ,,,Apr  3 2016 1,,,,,2.45,,,,
16,0065801011842,,,,2,,GARDEN OF LIFE,,,,,PROBIOTICS-ORGANIC KIDS-5 BILLION,,,,,30.00,,,CHW,,,Apr  3 2016 1,,,,,2.40,,,,
17,0065801012220,,,,1,,GARDEN OF LIFE,,,,,DR. FRMLTD PRBIOTCS KIDS STRW ALIVE,,,,,30.00,,,CHW,,,,,,,,2.37,,,,
Positio,,,,UPC,,Facings,,,,Brand,,,,Long Description,,,,,Size,,,UOM,,,Date,,,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0074371500912,,,,1,,BLUEBONNET,,,,,MILK FREE ACIDOPHILUS PLUS FOS,,,,,100.00,,,VCP,,,Apr  3 2016 1,,,,,2.25,,,,
19,0001579403051,,,,1,,COUNTRY LIFE,,,,,ACIDOPHILUS WITH PECTIN C,,,,,100.00,,,VCP,,,Apr  3 2016 1,,,,,2.25,,,,
20,0001579403056,,,,1,,COUNTRY LIFE,,,,,POWER-DOPHILUS MILK FREE,,,,,100.00,,,VCP,,,Apr  3 2016 1,,,,,2.25,,,,
21,0002124550013,,,,1,,KAL,,,,,ACIDOPHILUS PROBIOTIC-4,,,,,100.00,,,CAP,,,Apr  3 2016 1,,,,,2.55,,,,
22,0064667068001,,,,1,,SPROUTS,,,,,ACIDOPHILUS PROBIOTIC,,,,,100.00,,,CAP,,,Apr  3 2016 1,,,,,2.10,,,,
23,0064667068036,,,,1,,SPROUTS,,,,,ACIDOPHILUS & BIFIDUS,,,,,50.00,,,CAP,,,Apr  3 2016 1,,,,,1.80,,,,
24,0064667067355,,,,1,,SPROUTS,,,,,ACIDOPHILUS & BIFIDUS POWDER,,,,,1.20,,,OZ,,,,,,,,1.80,,,,
25,0064667067294,,,,1,,SPROUTS,,,,,PROBIOTIC QUATTRO COMPLEX,,,,,50.00,,,CAP,,,Apr  3 2016 1,,,,,1.80,,,,
26,0064667067295,,,,1,,SPROUTS,,,,,PROBIOTIC QUATTRO COMPLEX,,,,,100.00,,,CAP,,,Apr  3 2016 1,,,,,2.00,,,,
27,0064667067354,,,,1,,SPROUTS,,,,,ULTRA PROBIOTIC BLEND,,,,,60.00,,,CAP,,,,,,,,2.10,,,,
28,0064667067353,,,,1,,SPROUTS,,,,,PROBIOTIC ENZYME COMPLEX,,,,,60.00,,,CAP,,,,,,,,2.10,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 5' 7.00"",    Height: 0' 5.50"",   Depth: 1' 4.00"",   Product: 5' 6.80""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0063125715980,,,,1,,RENEW LIFE,,,,,DAILY BALANCE,,,,,60.00,,,VCP,,,,,,,,2.45,,,,
2,0063125715984,,,,1,,RENEW LIFE,,,,,WOMEN'S DAILY,,,,,60.00,,,VCP,,,,,,,,2.45,,,,
3,0063125715983,,,,1,,RENEW LIFE,,,,,RETURN TO REGULAR,,,,,60.00,,,VCP,,,,,,,,2.45,,,,
4,0006199861960,,,,1,,UDOS CHOICE,,,,,PROBIOTIC-ADULTS,,,,,60.00,,,CAP,,,Apr  3 2016 1,,,,,2.25,,,,
5,0006199861962,,,,1,,UDOS CHOICE,,,,,PROBIOTIC-ADULTS,,,,,120.00,,,CAP,,,Apr  3 2016 1,,,,,2.60,,,,
6,0006199861968,,,,1,,UDOS CHOICE,,,,,PROBIOTIC-ADULTS-ADVANCED,,,,,30.00,,,CAP,,,Apr  3 2016 1,,,,,2.25,,,,
7,0006199861970,,,,1,,UDOS CHOICE,,,,,PROBIOTIC-ADULTS-ADVANCED,,,,,60.00,,,CAP,,,Apr  3 2016 1,,,,,2.60,,,,
8,0006199861958,,,,1,,UDOS CHOICE,,,,,PROBIOTIC-SUPER 8,,,,,30.00,,,CAP,,,Apr  3 2016 1,,,,,2.25,,,,
9,0006199861956,,,,1,,UDOS CHOICE,,,,,PROBIOTIC-SUPER 8 HI POTENCY,,,,,60.00,,,CAP,,,Apr  3 2016 1,,,,,2.60,,,,
10,0006199861972,,,,1,,UDOS CHOICE,,,,,PROBIOTIC-SUPER BIFIDO,,,,,30.00,,,CAP,,,Apr  3 2016 1,,,,,2.25,,,,
11,0072778390182,,,,1,,NEW CHAPTER,,,,,PROBIOTIC ALL-FLORA,,,,,30.00,,,VCP,,,,,,,,2.20,,,,
12,0003367406800,,,,1,,NATURE'S WAY,,,,,PRIMADOPHILUS,,,,,90.00,,,CAP,,,Apr  3 2016 1,,,,,2.05,,,,
13,0003367406860,,,,1,,NATURE'S WAY,,,,,PRIMADOPHILUS BIFIDUS,,,,,90.00,,,VCP,,,Apr  3 2016 1,,,,,2.05,,,,
14,0003367414240,,,,1,,NATURE'S WAY,,,,,PRIMADOPHILUS REUTERI,,,,,30.00,,,CAP,,,Apr  3 2016 1,,,,,2.00,,,,
