3,0083876600484,,,,1,,,VEGA,,,,,,,ALL-IN-ONE SHAKE-ORG-FRENCH VANILLA,,,,,12.20,,,,,OZ,,,,,,,4.80,,,,,
4,0083876600476,,,,2,,,VEGA,,,,,,,ALL-IN-ONE SHAKE-ORG-FRENCH VANILLA,,,,,24.30,,,,,OZ,,,,,,,5.17,,,,,
5,0083876600486,,,,1,,,VEGA,,,,,,,ALL-IN-ONE SHAKE-ORG-MOCHA,,,,,12.70,,,,,OZ,,,,,,,4.80,,,,,
6,0083876600855,,,,1,,,VEGA,,,,,,,VEGA SPORT PROTEIN-TUB-VANILLA,,,,,29.20,,,,,OZ,,,May 15 2016 1,,,,5.00,,,,,
7,0083876600856,,,,1,,,VEGA,,,,,,,VEGA SPORT PROTEIN-TUB-CHOCOLATE,,,,,29.50,,,,,OZ,,,May 15 2016 1,,,,5.00,,,,,
8,0083876600857,,,,1,,,VEGA,,,,,,,VEGA SPORT PROTEIN-TUB-MOCHA,,,,,28.60,,,,,OZ,,,May 15 2016 1,,,,5.00,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 6,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 4.00"",   Product: 3' 11.92""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0082983500459,,,,1,,,AMAZING GRASS,,,,,,,PROTEIN SUPERFOOD-ORIGINAL,,,,,12.20,,,,,OZ,,,Apr 10 2016 1,,,,4.50,,,,,
2,0082983500463,,,,1,,,AMAZING GRASS,,,,,,,PROTEIN SUPERFOOD-VANILLA,,,,,12.00,,,,,OZ,,,Apr 10 2016 1,,,,4.50,,,,,
3,0082983500574,,,,1,,,AMAZING GRASS,,,,,,,PROTEIN-SPRFOOD-ORG-VANILLA-20 SERVE,,,,,21.90,,,,,OZ,,,,,,,4.98,,,,,
4,0082983500601,,,,1,,,AMAZING GRASS,,,,,,,PROTEIN SUPERFOOD-ORG-RICH CHOCOLATE,,,,,12.70,,,,,OZ,,,,,,,4.50,,,,,
5,0082983500467,,,,1,,,AMAZING GRASS,,,,,,,PROTEIN SUPERFOOD- CHOC PEANT BTTR,,,,,15.10,,,,,OZ,,,Mar 27 2016 1,,,,4.50,,,,,
6,0082983500575,,,,1,,,AMAZING GRASS,,,,,,,PROTEIN-SPRFOOD-ORG-CHOCO PNUT BUTTR,,,,,27.30,,,,,OZ,,,,,,,4.98,,,,,
7,0082983500639,,,,1,,,AMAZING GRASS,,,,,,,PROTEIN & KALE-ORG-SIMPLY VANILLA,,,,,17.50,,,,,OZ,,,,,,,4.85,,,,,
8,0082983500632,,,,1,,,AMAZING GRASS,,,,,,,PROTEIN & KALE-ORG-SMOOTH CHOCOLATE,,,,,19.60,,,,,OZ,,,,,,,4.85,,,,,
9,0082983500420,,,,1,,,AMAZING GRASS,,,,,,,AMAZING SPORT-PURE VANILLA-ORG,,,,,10.20,,,,,OZ,,,May 15 2016 1,,,,6.75,,,,,
Positio,,,,UPC,,Facings,,,,,,Brand,,,,,,Long Description,,,,Size,,,,,UOM,,,,Date,,,Width,,,
"-----------
Totals:",,,"--------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------
---------------
9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 7,   Length: 4' 0.00"",    Height: 1' 0.00"",   Depth: 1' 4.00"",   Product: 4' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0060949272231,,,,1,,,MRM,,,,,,,VEGGIE PROTEIN VANILLA GLUTEN FREE,,,,,20.10,,,,,OZ,,,Feb 21 2016 1,,,,5.00,,,,,
2,0060949272230,,,,1,,,MRM,,,,,,,VEGGIE PROTEIN CHOCOLATE GLUTEN FREE,,,,,20.10,,,,,OZ,,,Feb 21 2016 1,,,,5.00,,,,,
3,0060949272044,,,,1,,,MRM,,,,,,,VEGGIE MEAL-VANILLA BEAN,,,,,3.00,,,,,LB,,,Feb 21 2016 1,,,,6.00,,,,,
