",,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 6",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 8:  Height 0' 8.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0087863900020,,,,1,,,EVERYMAN JACK,,,,,,DEODORANT-MINT,,,,,3.00,,,OZ,,,,Jun 12 2016 1,,,,2.80,,,,,
19,0087863900021,,,,1,,,EVERYMAN JACK,,,,,,DEODORANT- CEDARWOOD,,,,,3.00,,,OZ,,,,Jun 12 2016 1,,,,2.80,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 4' 0.00"",    Height: 0' 5.50"",   Depth: 1' 1.00"",   Product: 3' 11.87""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0079001115061,,,,1,,,JARROW FORMULAS,,,,,,7-KETO DHEA 100 MG,,,,,30.00,,,CAP,,,,Jun 12 2016 1,,,,1.85,,,,,
2,0076394805186,,,,1,,,ENZYMATIC THERAPY,,,,,,7 KETO DHEA,,,,,60.00,,,CAP,,,,Jun 12 2016 1,,,,1.83,,,,,
3,0076394805006,,,,1,,,ENZYMATIC THERAPY,,,,,,YOUTHFUL YOU DHEA 5 MG,,,,,60.00,,,CAP,,,,Jun 12 2016 1,,,,2.20,,,,,
4,0001579401665,,,,1,,,COUNTRY LIFE,,,,,,DHEA-10 MG,,,,,50.00,,,CAP,,,,Jun 12 2016 1,,,,1.76,,,,,
5,0001579401670,,,,1,,,COUNTRY LIFE,,,,,,DHEA-25 MG,,,,,90.00,,,CAP,,,,Jun 12 2016 1,,,,1.79,,,,,
6,0060949241001,,,,1,,,MRM,,,,,,DHEA 25 MG,,,,,60.00,,,VCP,,,,Jun 12 2016 1,,,,1.87,,,,,
7,0060949241002,,,,1,,,MRM,,,,,,DHEA-25 MG,,,,,90.00,,,VCP,,,,Jun 12 2016 1,,,,1.94,,,,,
8,0060949241004,,,,1,,,MRM,,,,,,DHEA-50 MG,,,,,60.00,,,VCP,,,,Jun 12 2016 1,,,,1.94,,,,,
9,0060949241005,,,,1,,,MRM,,,,,,DHEA 50 MG MICRONIZED,,,,,90.00,,,VCP,,,,Jun 12 2016 1,,,,1.96,,,,,
10,0004746916106,,,,1,,,NATROL,,,,,,DHEA 50 MG,,,,,60.00,,,TAB,,,,Jun 12 2016 1,,,,1.95,,,,,
