"Project Type: Reset 01/22/2018 Buyer: Multiple
Analyst: Denny Robison x450
Location(s):
Notes:",,,,,,,,,,,,,,"9/12/2018
Multiple Department
25403 FEM-H Style Wide-B 36.5 IN-Released
T
",,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0
E C E C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 1' 2.75"", Length 3' 0.50"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"0070059
SPRY CHEWIN",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"007005960
SPRY",,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 3' 0.50"",    Height: 0' 7.50"",   Depth: 1' 6.00"",   Product: 3' 0.38""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1                       0083002800091                1,,,,,,,,PUR GUM,,,,,,,GUM-SPEARMINT,,9.00,,,,,,,CNT,,,Mar 13 2016 1,,,,,3.75,,
Positio,,,UPC,,Facings,,,,Brand,,,,,,,Long Description,,,,Size,,,UOM,,,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0002200007695,,,1,,DOUBLEMINT,,,,,,,,GUM-PERFECTLY SWEET,,,,12.00,,,CNT,,,,,,,,3.16,,,,,
3,0081733504214,,,1,,VERMINTS,,,,,,,,MINTS-GINGERMINT-ORGANIC,,,,1.41,,,OZ,,,,Mar 13 2016 1,,,,3.30,,,,,
4,0081733504217,,,1,,VERMINTS,,,,,,,,MINTS-CINNAMON-ORGANIC,,,,1.41,,,OZ,,,,Mar 13 2016 1,,,,3.30,,,,,
5,0081733504213,,,1,,VERMINTS,,,,,,,,MINTS-WINTERGREEN-ORGANIC,,,,1.41,,,OZ,,,,,,,,3.28,,,,,
6,0084037910044,,,1,,JUSTINS,,,,,,,,SNACK PACK-ALMND BTTR-PRETZELS,,,,1.30,,,OZ,,,,,,,,2.56,,,,,
