11,0008173840202,,,1,,,SHIKAI,,,,LOTION-ADULT-BORAGE,,,,8.00,,,,FOZ,,,,,3.00,,,,
12,0008173840212,,,1,,,SHIKAI,,,,LOTION-DRY SKIN THERAPY UNSCENTED,,,,16.00,,,,FOZ,,,,,2.50,,,,
13,0066618300006,,,1,,,THERANEEM,,,,LEAF AND OIL LOTION-GENTLE,,,,8.00,,,,FOZ,,,,,1.90,,,,
14,0085603500117,,,1,,,DEAD SEA AMAZING  MINERAL,,,,MOISTURIZER-AMAZING MINERALS,,,,10.90,,,,OZ,,,,,2.50,,,,
15,0064595182728,,,1,,,LIFEFLO,,,,LOTION-MAGNESIUM,,,,8.00,,,,FOZ,,,,,2.10,,,,
16,0064595147958,,,1,,,LIFEFLO,,,,GEL-MAGNESIUM,,,,16.00,,,,FOZ,,,,,2.45,,,,
17,0064595140530,,,1,,,LIFEFLO,,,,PURE MAGNESIUM OIL,,,,8.00,,,,FOZ,,,,,1.90,,,,
18,0064595158081,,,1,,,LIFEFLO,,,,OIL SPRAY-MAGNESIUM,,,,8.00,,,,FOZ,,,,,1.90,,,,
19,0064595155407,,,1,,,LIFEFLO,,,,NAPCA MIST,,,,8.00,,,,FOZ,,,,,1.90,,,,
20,0083578700076,,,1,,,NATRALIA,,,,DRY SKIN LOTION,,,,8.45,,,,FOZ,,,,,3.05,,,,
21,0083578700038,,,1,,,NATRALIA,,,,WASH & SHAMPOO-ECZEMA & PSORIASIS,,,,7.00,,,,FOZ,,,,,2.55,,,,
22,0083578700037,,,1,,,NATRALIA,,,,ECZEMA & PSORIASIS CREAM,,,,2.00,,,,OZ,,,,,1.80,,,,
23,0083578700057,,,1,,,NATRALIA,,,,HEEL BALM,,,,2.00,,,,OZ,,,,,1.80,,,,
24,0008173840250,,,1,,,SHIKAI,,,,FOOT CREAM-BORAGE DRY SKIN THERAPY,,,,4.20,,,,FOZ,,,,,3.00,,,,
25,0002836783563,,,1,,,KISS MY FACE,,,,FOOT CREME-PEPPERMINT,,,,4.00,,,,FOZ,,,,,3.08,,,,
26,0071833433770,,,1,,,DESERT ESSENCE,,,,FOOT REPAIR CREAM-PISTACHIO,,,,3.50,,,,FOZ,,,,,2.40,,,,
27,0079285006999,,,1,,,BURTS BEES,,,,FOOT CREME-COCONUT,,,,4.34,,,,OZ,,,,,2.16,,,,
28,0064667046513,,,2,,,SPROUTS,,,,DEODORANT-POWDER-MINERAL SALT,,,,3.00,,,,FOZ,,,,,2.10,,,,
29,0031885810824,,,1,,,HOME HEALTH,,,,LOTION-ALMOND GLOW-ROSE,,,,8.00,,,,FOZ,,,,,2.00,,,,
30,0031885851324,,,1,,,HOME HEALTH,,,,LOTION-ALMOND GLOW-ALMOND,,,,8.00,,,,FOZ,,,,,2.00,,,,
31,0031885854024,,,1,,,HOME HEALTH,,,,LOTION-ALMOND GLOW-COCONUT,,,,8.00,,,,FOZ,,,,,2.00,,,,
32,0031885854124,,,1,,,HOME HEALTH,,,,LOTION-ALMOND GLOW-JASMINE,,,,8.00,,,,FOZ,,,,,2.00,,,,
33,0031885858524,,,1,,,HOME HEALTH,,,,LOTION-ALMOND GLOW-UNSCENTED,,,,8.00,,,,FOZ,,,,,2.00,,,,
34,0031885810924,,,1,,,HOME HEALTH,,,,LOTION-ALMOND GLOW-LAVENDER,,,,8.00,,,,FOZ,,,,,2.00,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,38,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 8' 0.00"",    Height: 0' 7.50"",   Depth: 1' 1.00"",   Product: 7' 11.67""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0085153800425,,,1,,,FURTHER,,,,LOTION-LAVENDER CORIANDER & PINE,,,,8.00,,,,FOZ,,,,,2.35,,,,
2,0085153800427,,,1,,,FURTHER,,,,LOTION-LAVENDER CORIANDER & PINE,,,,16.00,,,,FOZ,,,,,3.25,,,,
3,0085153800422,,,1,,,FURTHER,,,,LOTION-GERANIUM AMBER & LIME,,,,8.00,,,,FOZ,,,,,2.35,,,,
4,0085153800426,,,1,,,FURTHER,,,,LOTION-GERANIUM AMBER & LIME,,,,16.00,,,,FOZ,,,,,3.25,,,,
5,0085153800401,,,1,,,FURTHER,,,,LOTION-BERGAMOT OLIVE & GRASS,,,,8.00,,,,FOZ,,,,,2.35,,,,
6,0085153800405,,,1,,,FURTHER,,,,LOTION-BERGAMOT OLIVE & GRASS,,,,16.00,,,,FOZ,,,,,3.25,,,,
7,0065474935205,,,1,,,AVALON ORGANICS,,,,LOTION-HAND BODY-LEMON,,,,12.00,,,,OZ,,,,,2.40,,,,
8,0065474935208,,,1,,,AVALON ORGANICS,,,,LOTION-HAND BODY-PEPPERMINT,,,,12.00,,,,OZ,,,,,2.40,,,,
9,0065474935200,,,2,,,AVALON ORGANICS,,,,LOTION-HAND BODY-LAVENDER,,,,12.00,,,,OZ,,,,,2.40,,,,
10,0001878793003,,,1,,,DR BRONNERS,,,,LOTION-ORG-PATCHOULI LIME,,,,8.00,,,,FOZ,,,,,1.90,,,,
Positio,,,UPC,,,Facings,,,Brand,,,,Long Description,,,,Size,,,,UOM,,Date,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0001878793001,,,1,,,DR BRONNERS,,,,LOTION-ORG-ORANGE LAVENDER,,,,8.00,,,,FOZ,,,,,1.90,,,,
12,0001878793002,,,1,,,DR BRONNERS,,,,LOTION-ORG-PEPPERMINT,,,,8.00,,,,FOZ,,,,,1.90,,,,
13,0001878793004,,,2,,,DR BRONNERS,,,,LOTION-ORG-LAVENDER COCONUT,,,,8.00,,,,FOZ,,,,,1.90,,,,
14,0080812470249,,,1,,,MRS MEYERS,,,,HAND LOTION-GERANIUM,,,,12.00,,,,FOZ,,,,,2.70,,,,
15,0080812470248,,,1,,,MRS MEYERS,,,,HAND LOTION-HONEYSUCKLE SCENT,,,,12.00,,,,FOZ,,,,,2.70,,,,
16,0080812470245,,,1,,,MRS MEYERS,,,,HAND LOTION-LEMON VERBENA,,,,12.00,,,,FOZ,,,,,2.70,,,,
17,0080812470247,,,1,,,MRS MEYERS,,,,HAND LOTION-BASIL SCENT,,,,12.00,,,,FOZ,,,,,2.70,,,,
18,0080812470250,,,1,,,MRS MEYERS,,,,HAND LOTION-LAVENDER,,,,12.00,,,,FOZ,,,,,2.70,,,,
19,0076430212311,,,1,,,NUBIAN HERITAGE,,,,HAND CREAM-GOATS MILK & CHAI,,,,4.00,,,,FOZ,,,,,2.35,,,,
20,0076430212225,,,1,,,NUBIAN HERITAGE,,,,HAND CREAM-PATCHOULI & BURITI,,,,4.00,,,,OZ,,,,,2.35,,,,
21,0076430210343,,,1,,,NUBIAN HERITAGE,,,,HAND CREAM-COCONUT & PAPAYA,,,,4.00,,,,FOZ,,,,,2.35,,,,
22,0076430211055,,,1,,,NUBIAN HERITAGE,,,,HAND CREAM-INDN HMP & HAITIAN VETIVR,,,,4.00,,,,FOZ,,,,,2.35,,,,
23,0076430213038,,,1,,,NUBIAN HERITAGE,,,,HAND CREAM-RAW SHEA BUTTER,,,,4.00,,,,FOZ,,,,,2.35,,,,
24,0085997500220,,,1,,,ANDALOU NATURALS,,,,HAND CREAM LAVENDER,,,,3.40,,,,FOZ,,,,,2.35,,,,
25,0085997500266,,,1,,,ANDALOU NATURALS,,,,HAND CREAM-CLEMENTINE,,,,3.40,,,,FOZ,,,,,2.35,,,,
26,0085997500267,,,1,,,ANDALOU NATURALS,,,,HAND CREAM-LIME BLOSSOM,,,,3.40,,,,FOZ,,,,,2.35,,,,
27,0008173840222,,,1,,,SHIKAI,,,,HAND CREAM-ADULT-BORAGE,,,,2.50,,,,FOZ,,,,,2.40,,,,
28,0003098507073,,,1,,,DERMA-E,,,,HAND CREME-INTENSIVE THERAPY-VIT E,,,,2.00,,,,OZ,,,,,2.10,,,,
29,0079285064699,,,1,,,BURTS BEES,,,,HAND CREME-HONEY GRAPESEED OIL,,,,2.60,,,,OZ,,,,,2.15,,,,
30,0079285029199,,,1,,,BURTS BEES,,,,HAND REPAIR CREME-SHEA BUTTER,,,,3.20,,,,OZ,,,,,1.80,,,,
31,0400163808845,,,1,,,WELEDA,,,,HAND CREAM-POMEGRANATE,,,,1.70,,,,FOZ,,,,,1.90,,,,
32,0400163809859,,,1,,,WELEDA,,,,SKIN FOOD,,,,2.50,,,,FOZ,,,,,2.05,,,,
33,0066738310702,,,1,,,NOURISH ORGANIC,,,,ORGANIC ROSE HIP & WATER BODY OIL,,,,3.00,,,,FOZ,,,,,2.60,,,,
34,0066738310703,,,1,,,NOURISH ORGANIC,,,,SKIN SOLVE-ORGANIC,,,,3.00,,,,OZ,,,,,2.60,,,,
35,0076430210336,,,1,,,NUBIAN HERITAGE,,,,COCONUT AND PAPAYA INFUSED BUTTER,,,,4.00,,,,OZ,,,,,2.90,,,,
36,0076430212224,,,1,,,NUBIAN HERITAGE,,,,SHEA BUTTER-PATCHOULI & BURITI,,,,4.00,,,,OZ,,,,,2.90,,,,
37,0076430212300,,,1,,,NUBIAN HERITAGE,,,,RAW SHEA BUTTER INFUSED BUTTER,,,,4.00,,,,OZ,,,,,2.90,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,39,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 1.00"",   Product: 3' 11.82""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0007834704186,,,1,,,NATURE'S GATE,,,,LOTION-COCONUT,,,,18.00,,,,FOZ,,,,,2.75,,,,
2,0007834704171,,,1,,,NATURE'S GATE,,,,LOTION-HERBAL,,,,18.00,,,,FOZ,,,,,2.75,,,,
3,0007834775120,,,1,,,NATURE'S GATE,,,,LOTION-POMEGRANATE SUNFLOWER,,,,18.00,,,,FOZ,,,,,2.75,,,,
4,0007834704176,,,1,,,NATURE'S GATE,,,,LOTION-COLLODIAL OATMEAL,,,,18.00,,,,FOZ,,,,,2.75,,,,
5,0007834704174,,,1,,,NATURE'S GATE,,,,LOTION-PAPAYA,,,,18.00,,,,FOZ,,,,,2.75,,,,
6,0007834704175,,,1,,,NATURE'S GATE,,,,LOTION-HEMP,,,,18.00,,,,FOZ,,,,,2.75,,,,
7,0007834704172,,,1,,,NATURE'S GATE,,,,LOTION-FRAGRANCE FREE,,,,18.00,,,,FOZ,,,,,2.75,,,,
Positio,,,UPC,,,Facings,,,Brand,,,,Long Description,,,,Size,,,,UOM,,Date,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0007834704177,,,1,,,NATURE'S GATE,,,,LOTION-TEA TREE,,,,18.00,,,,FOZ,,,,,2.75,,,,
9,0007834704187,,,1,,,NATURE'S GATE,,,,LOTION-LAVENDER,,,,18.00,,,,FOZ,,,,,2.75,,,,
10,0076430211902,,,1,,,NUBIAN HERITAGE,,,,LOTION-HONEY BLACK SEED,,,,13.00,,,,FOZ,,,,,2.25,,,,
11,0076430213048,,,1,,,NUBIAN HERITAGE,,,,BODY LOTION-GOATS MILK & CHAI,,,,13.00,,,,FOZ,,,,,2.25,,,,
12,0076430212221,,,1,,,NUBIAN HERITAGE,,,,LOTION-PATCHOULI & BURITI,,,,13.00,,,,FOZ,,,,,2.25,,,,
13,0076430211107,,,1,,,NUBIAN HERITAGE,,,,LOTION-COCONUT & PAPAYA,,,,13.00,,,,FOZ,,,,,2.25,,,,
14,0076430211400,,,1,,,NUBIAN HERITAGE,,,,BODY LOTION-MANGO,,,,13.00,,,,FOZ,,,,,2.25,,,,
15,0076430211128,,,1,,,NUBIAN HERITAGE,,,,LOTION-INDIAN HEMP & HAITIAN VETIVER,,,,13.00,,,,FOZ,,,,,2.25,,,,
16,0076430211802,,,1,,,NUBIAN HERITAGE,,,,LOTION-OLIVE & GREEN TEA,,,,13.00,,,,FOZ,,,,,2.25,,,,
17,0076430213002,,,2,,,NUBIAN HERITAGE,,,,LOTION-RAW SHEA BUTTER,,,,13.00,,,,FOZ,,,,,2.25,,,,
18,0076430210606,,,1,,,NUBIAN HERITAGE,,,,LOTION-AFRICAN BLACK SOAP,,,,13.00,,,,FOZ,,,,,2.25,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,19,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 8' 0.00"",    Height: 0' 8.50"",   Depth: 1' 1.00"",   Product: 7' 11.70""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0085829300262,,,1,,,SEAWEED BATH CO.,,,,CREAM-FIRMNG DETOX-AWAKEN,,,,6.00,,,,FOZ,,,,,2.90,,,,
2,0085829300287,,,1,,,SEAWEED BATH CO.,,,,DETOX CREAM-FIRMING-REFRESH,,,,6.00,,,,OZ,,,,,2.95,,,,
3,0085829300288,,,1,,,SEAWEED BATH CO.,,,,DETOX CREAM-FIRMING-ENLIGHTEN,,,,6.00,,,,FOZ,,,,,2.95,,,,
4,0085997500218,,,1,,,ANDALOU NATURALS,,,,KUKUI COCOA NURSHING BDY BUTTER,,,,8.00,,,,FOZ,,,,,3.30,,,,
5,0085997500217,,,1,,,ANDALOU NATURALS,,,,LVNDR SHEA FIRMING BODY BUTTER,,,,8.00,,,,FOZ,,,,,3.30,,,,
6,0085997502026,,,1,,,ANDALOU NATURALS,,,,1000 ROSES VELVET SOFT BODY BUTTER,,,,8.00,,,,FOZ,,,,,3.30,,,,
7,0007834704191,,,1,,,NATURE'S GATE,,,,BODY BUTTER-FRESH SCENTED,,,,8.00,,,,FOZ,,,,,3.00,,,,
8,0007834704190,,,1,,,NATURE'S GATE,,,,BODY BUTTER-SHEA BUTTER MINT,,,,8.00,,,,FOZ,,,,,3.00,,,,
9,0007834704189,,,1,,,NATURE'S GATE,,,,BODY BUTTER-COCONUT,,,,8.00,,,,FOZ,,,,,3.00,,,,
10,0089409400312,,,1,,,SKIN BY ANN WEBB,,,,BODY LOTION-UNSCENTED,,,,8.00,,,,FOZ,,,,,3.00,,,,
11,0089409400313,,,1,,,SKIN BY ANN WEBB,,,,BODY CREAM-UNSCENTED,,,,8.00,,,,FOZ,,,,,3.00,,,,
12,0084074901716,,,1,,,MINERAL FUSION,,,,BODY LOTION-SUNSTONE,,,,8.00,,,,OZ,,,,,3.00,,,,
13,0084074901717,,,1,,,MINERAL FUSION,,,,BODY LOTION-WATERSTONE,,,,8.00,,,,OZ,,,,,3.00,,,,
