9,0060827410700,,,,1,,,CHILDLIFE,,,,,LIQUID CALCIUM WITH MAGNESIUM-ORANGE,,,,,16.00,,,,FOZ,,,,Feb 21 2016 1,,,,,3.05,,,,,,
10,0074371500694,,,,1,,,BLUEBONNET,,,,,LIQUID CAL MAG CITRATE RASPBERRY,,,,,16.00,,,,FOZ,,,,Feb 21 2016 1,,,,,2.95,,,,,,
11,0074371500690,,,,1,,,BLUEBONNET,,,,,LIQUID CAL MAG CITRATE ORANGE,,,,,16.00,,,,FOZ,,,,Feb 21 2016 1,,,,,2.95,,,,,,
12,0074371500696,,,,1,,,BLUEBONNET,,,,,LIQUID CAL MAG CITRATE MIXED BERRY,,,,,16.00,,,,FOZ,,,,Feb 21 2016 1,,,,,2.95,,,,,,
13,0074371500686,,,,1,,,BLUEBONNET,,,,,LIQUID CAL MAG CITRATE BLUEBERRY,,,,,16.00,,,,FOZ,,,,Feb 21 2016 1,,,,,2.95,,,,,,
14,0074371500692,,,,1,,,BLUEBONNET,,,,,LIQUID CAL MAG CITRATE STRAWBERRY,,,,,16.00,,,,FOZ,,,,Feb 21 2016 1,,,,,2.95,,,,,,
15,0003398435832,,,,1,,,SOLGAR,,,,,CALCIUM MAGNESIUM CITRATE-ORNG VNLLA,,,,,16.00,,,,FOZ,,,,Feb 21 2016 1,,,,,2.95,,,,,,
16,0003398435831,,,,1,,,SOLGAR,,,,,CALCIUM MAGNESIUM CITRATE-BLUEBERRY,,,,,16.00,,,,FOZ,,,,Feb 21 2016 1,,,,,2.95,,,,,,
17,0003398435833,,,,1,,,SOLGAR,,,,,CALCIUM MAGNESIUM CITRATE-STRAWBERRY,,,,,16.00,,,,FOZ,,,,Feb 21 2016 1,,,,,2.95,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positio,,,,UPC,,Facings,,,,,Brand,,,,Long Description,,,,,Size,,,,UOM,,,,,Date,,,,Width,,,,
"-----------
Totals:",,,"--------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------
18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 1.00"",   Product: 3' 11.88""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0074371500710,,,,1,,,BLUEBONNET,,,,,CALCIUM CITRATE PLUS VITAMIN D3,,,,,90.00,,,,CAP,,,,Feb 21 2016 1,,,,,2.50,,,,,,
2,0074371500704,,,,1,,,BLUEBONNET,,,,,CALCIUM 1200 MG PLUS VITAMIN D3,,,,,120.00,,,,SG,,,,Feb 21 2016 1,,,,,3.00,,,,,,
3,0074371500714,,,,1,,,BLUEBONNET,,,,,CALCIUM CITRATE PLUS MAGNESIUM,,,,,180.00,,,,VCP,,,,Feb 21 2016 1,,,,,3.00,,,,,,
4,0074371500708,,,,1,,,BLUEBONNET,,,,,CALCIUM MAGNESIUM PLUS BORON,,,,,180.00,,,,VCP,,,,Feb 21 2016 1,,,,,3.00,,,,,,
5,0074371500709,,,,1,,,BLUEBONNET,,,,,CALCIUM MAGNESIUM PLUS POTASSIUM,,,,,90.00,,,,CAP,,,,Feb 21 2016 1,,,,,2.50,,,,,,
6,0074371500715,,,,1,,,BLUEBONNET,,,,,CALCIUM CITRATE-MAGNESIUM-VITAMIN D3,,,,,90.00,,,,CAP,,,,Feb 21 2016 1,,,,,2.50,,,,,,
7,0074371500717,,,,1,,,BLUEBONNET,,,,,CALCIUM CITRATE-MAGNESIUM-VITAMIN D3,,,,,180.00,,,,CAP,,,,Feb 21 2016 1,,,,,3.23,,,,,,
8,0074371500700,,,,1,,,BLUEBONNET,,,,,CALCIUM MAGNESIUM ZINC SOFTGELS,,,,,60.00,,,,SG,,,,Feb 21 2016 1,,,,,2.45,,,,,,
9,0074371500701,,,,1,,,BLUEBONNET,,,,,CALCIUM MAGNESIUM ZINC SOFTGELS,,,,,120.00,,,,SG,,,,Feb 21 2016 1,,,,,3.00,,,,,,
10,0002124557710,,,,1,,,KAL,,,,,CAL MAG ZINC 100,,,,,100.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.52,,,,,,
11,0002124557220,,,,1,,,KAL,,,,,CALCIUM PLUS,,,,,200.00,,,,SG,,,,Feb 21 2016 1,,,,,3.00,,,,,,
12,0002124545845,,,,1,,,KAL,,,,,CRYSTAL CALCIUM,,,,,10.60,,,,OZ,,,,Feb 21 2016 1,,,,,3.68,,,,,,
13,0064667067051,,,,1,,,SPROUTS,,,,,CALCIUM CITRATE WITH VITAMIN D3,,,,,60.00,,,,VTB,,,,Feb 21 2016 1,,,,,2.66,,,,,,
14,0064667067052,,,,1,,,SPROUTS,,,,,CALCIUM CITRATE WITH VITAMIN D3,,,,,120.00,,,,VTB,,,,Feb 21 2016 1,,,,,3.00,,,,,,
15,0064667067053,,,,1,,,SPROUTS,,,,,CALCIUM 600 MG WITH VITAMIN D3 200IU,,,,,100.00,,,,SG,,,,Feb 21 2016 1,,,,,2.66,,,,,,
16,0064667067054,,,,1,,,SPROUTS,,,,,CAL MAG CITRATE COMPLEX & VITAMIN D3,,,,,100.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.50,,,,,,
17,0064667067061,,,,1,,,SPROUTS,,,,,CHELATED CAL MAG,,,,,100.00,,,,VTB,,,,Feb 21 2016 1,,,,,2.00,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 1.00"",   Product: 3' 11.88""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0001579402555,,,,1,,,COUNTRY LIFE,,,,,CAL CITRATE D,,,,,120.00,,,,TAB,,,,Feb 21 2016 1,,,,,2.73,,,,,,
2,0001579402477,,,,1,,,COUNTRY LIFE,,,,,TARGET MINS CALCIUM MAGNESIUM,,,,,180.00,,,,CAP,,,,Feb 21 2016 1,,,,,2.73,,,,,,
