Positio,,UPC,,,,Facings,,,Brand,,,,Long Description,,,,,,,Size,,,UOM,,,,Date,,,,Width,,,,
11,0003373900269,,,,1,,,SUPER NUTRITION,,,,MULTIVITAMINS-MEN-CHEWABLE,,,,,,,30.00,,,CHW,,,,,,,,2.09,,,,,
12,0003373900198,,,,1,,,SUPER NUTRITION,,,,SIMPLY ONE 50+ MEN IRON FREE,,,,,,,90.00,,,TAB,,,,May  1 2016 1,,,,2.40,,,,,
13,0071036356688,,,,1,,,IRWIN NATURALS,,,,LIVING GREEN-LIQUID GEL MULTI-WOMENS,,,,,,,90.00,,,SG,,,,Jun 12 2016 1,,,,2.57,,,,,
14,0071036357546,,,,2,,,IRWIN NATURALS,,,,LIVING GREEN LIQUID-GEL MULTI-WOMENS,,,,,,,120.00,,,SG,,,,Jun 12 2016 1,,,,2.97,,,,,
15,0071036356689,,,,1,,,IRWIN NATURALS,,,,LIQUID GEL MULTI-MEN,,,,,,,90.00,,,SG,,,,Jun 12 2016 1,,,,2.58,,,,,
16,0071036357547,,,,1,,,IRWIN NATURALS,,,,LIVING GREEN LIQUID-GEL MULTI-MENS,,,,,,,120.00,,,SG,,,,Jun 12 2016 1,,,,2.97,,,,,
17,0071036357738,,,,1,,,IRWIN NATURALS,,,,ONLY ONE LIQUID-GEL MULTI-WITH IRON,,,,,,,60.00,,,SG,,,,Jun 12 2016 1,,,,2.58,,,,,
18,0071036357739,,,,1,,,IRWIN NATURALS,,,,ONLY ONE LIQUID-GEL MULTI-NO IRON,,,,,,,60.00,,,SG,,,,Jun 12 2016 1,,,,2.58,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positio,,,,UPC,,Facings,,,,,Brand,,,,,Long Description,,,,,Size,,,UOM,,,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 3.00"",   Product: 3' 11.99""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0005149410283,,,,1,,,MEGAFOOD,,,,WOMENS ONE DAILY,,,,,,,30.00,,,TAB,,,,,,,,2.05,,,,,
2,0005149410284,,,,1,,,MEGAFOOD,,,,WOMENS ONE DAILY,,,,,,,60.00,,,TAB,,,,,,,,2.41,,,,,
3,0005149410266,,,,1,,,MEGAFOOD,,,,WOMEN OVER 40 ONE DAILY-DAILY FOODS,,,,,,,60.00,,,TAB,,,,Jun 12 2016 1,,,,2.41,,,,,
4,0005149410267,,,,1,,,MEGAFOOD,,,,WOMEN OVER 40 ONE DAILY,,,,,,,90.00,,,TAB,,,,Jun 12 2016 1,,,,2.65,,,,,
5,0005149410321,,,,1,,,MEGAFOOD,,,,WOMEN OVER 40 MULTI VITAMIN,,,,,,,60.00,,,TAB,,,,,,,,2.41,,,,,
6,0005149410352,,,,1,,,MEGAFOOD,,,,WOMEN OVER 55 ONE DAILY,,,,,,,60.00,,,TAB,,,,,,,,2.41,,,,,
7,0005149410271,,,,1,,,MEGAFOOD,,,,WOMEN OVER 55 MULTIVITAMIN,,,,,,,60.00,,,TAB,,,,Jun 12 2016 1,,,,2.19,,,,,
8,0005149410327,,,,1,,,MEGAFOOD,,,,WOMEN OVER 55 MULTI VITAMIN,,,,,,,120.00,,,TAB,,,,,,,,2.58,,,,,
9,0005149460158,,,,1,,,MEGAFOOD,,,,DAILY MULTI PWDR FOR WOMEN OVER 55,,,,,,,3.07,,,OZ,,,,,,,,2.89,,,,,
10,0005149410106,,,,1,,,MEGAFOOD,,,,MENS ONE DAILY-DAILY FOODS,,,,,,,30.00,,,TAB,,,,Jun 12 2016 1,,,,2.12,,,,,
11,0005149410107,,,,1,,,MEGAFOOD,,,,MENS ONE DAILY-DAILY FOODS,,,,,,,60.00,,,TAB,,,,Jun 12 2016 1,,,,2.41,,,,,
12,0005149410269,,,,1,,,MEGAFOOD,,,,MEN OVER 40 ONE DAILY-DAILY FOODS,,,,,,,60.00,,,TAB,,,,Jun 12 2016 1,,,,2.41,,,,,
13,0005149410270,,,,1,,,MEGAFOOD,,,,MEN OVER 40 ONE DAILY,,,,,,,90.00,,,TAB,,,,Jun 12 2016 1,,,,2.65,,,,,
14,0005149410317,,,,1,,,MEGAFOOD,,,,MEN OVER 40 MULTI VITAMIN,,,,,,,60.00,,,TAB,,,,,,,,2.41,,,,,
15,0005149410355,,,,1,,,MEGAFOOD,,,,MEN OVER 55 ONE DAILY,,,,,,,60.00,,,TAB,,,,,,,,2.41,,,,,
16,0005149410273,,,,1,,,MEGAFOOD,,,,MEN OVER 55 MULTIVITAMIN,,,,,,,60.00,,,TAB,,,,Jun 12 2016 1,,,,2.19,,,,,
17,0005149410328,,,,1,,,MEGAFOOD,,,,MEN OVER 55 MULTI VITAMIN,,,,,,,120.00,,,TAB,,,,,,,,2.58,,,,,
18,0005149460159,,,,1,,,MEGAFOOD,,,,DAILY MULTI POWDER FOR MEN OVER 55,,,,,,,3.13,,,OZ,,,,,,,,2.89,,,,,
19,0005149410151,,,,1,,,MEGAFOOD,,,,ONE DAILY-DAILY FOODS,,,,,,,60.00,,,TAB,,,,Jun 12 2016 1,,,,2.40,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
