Notes:",,,,,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 8",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,First,,,,,Product,,,
Positio,,,UPC,,,Facings,,Brand,,,,,Long Description,,,,,,Size,,,UOM,,,,Date,,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0085825900096,,,1,,HYALOGIC,,,,,HA FACIAL CLEANSER,,,,,,8.00,,,FOZ,,,,,,,,,1.80,,,,
3,,0085825900035,,,1,,HYALOGIC,,,,,INSTANT FACELIFT SERUM,,,,,,1.00,,,FOZ,,,,1/16/2011,,,,,1.92,,,,
4,,0085825900005,,,1,,HYALOGIC,,,,,FACIAL MIST,,,,,,2.00,,,OZ,,,,5/6/2015,,,,,2.52,,,,
5,,0085825900018,,,1,,HYALOGIC,,,,,PURE HYALURONIC ACID SERUM,,,,,,1.00,,,FOZ,,,,1/16/2011,,,,,1.92,,,,
6,,0085825900097,,,1,,HYALOGIC,,,,,COLLAGEN HA TRIPPLE BOOST,,,,,,0.47,,,FOZ,,,,,,,,,1.60,,,,
7,,0085236400700,,,1,,JEFFREY JAMES BOTANICALS,,,,,THE WASH-GENTLE PURIGYING CLEANSER,,,,,,4.00,,,OZ,,,,,,,,,1.95,,,,
8,,0085236400701,,,1,,JEFFREY JAMES BOTANICALS,,,,,THE TONER-REFRESHINGLY CLEAN MIST,,,,,,4.00,,,OZ,,,,,,,,,1.95,,,,
9,,0085236400704,,,1,,JEFFREY JAMES BOTANICALS,,,,,THE CREAM-ALL DAY & ALL NIGHT,,,,,,2.00,,,OZ,,,,,,,,,2.45,,,,
10,,0085236400702,,,1,,JEFFREY JAMES BOTANICALS,,,,,THE FIRM INSTANT FIRMING FACELIFT,,,,,,2.00,,,OZ,,,,,,,,,1.67,,,,
Positio,,,,UPC,,Facings,,,,Brand,,,,Long Description,,,,,Size,,,,UOM,,,,Date,,,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0085236400703,,,1,,JEFFREY JAMES BOTANICALS,,,,,THE SERUM DEEPLY HYDRATING,,,,,,2.00,,,OZ,,,,,,,,,1.67,,,,
12,,0085236400709,,,1,,JEFFREY JAMES BOTANICALS,,,,,THE GLOW-ULTIMATE HYDRATION RESTORE,,,,,,1.00,,,OZ,,,,,,,,,1.40,,,,
13,,0085236400707,,,1,,JEFFREY JAMES BOTANICALS,,,,,THE EYE GEL-SOOTHE RENEW AWAKEN,,,,,,0.50,,,OZ,,,,,,,,,1.90,,,,
14,,0085818000205,,,1,,SIBU BEAUTY,,,,,CLEANSE & DETOX FACIAL SOAP,,,,,,3.50,,,OZ,,,,Jun  5 2016 1,,,,,2.35,,,,
15,,0085818000208,,,1,,SIBU BEAUTY,,,,,SEA BUCKTHORN SEED OIL,,,,,,10.00,,,ML,,,,Jun  5 2016 1,,,,,1.40,,,,
16,,0085818000207,,,1,,SIBU BEAUTY,,,,,NOURISHING FACIAL CREAM,,,,,,1.00,,,OZ,,,,Jun  5 2016 1,,,,,1.25,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 10,   Length: 2' 6.50"",    Height: 0' 7.50"",   Depth: 1' 11.00"",   Product: 2' 6.41""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0072831500658,,,1,,ANNEMARIE BORLIND,,,,,CLEANSING MILK-LL REGENERATION,,,,,,5.07,,,FOZ,,,,Jun  5 2016 1,,,,,2.15,,,,
2,,0072831500659,,,1,,ANNEMARIE BORLIND,,,,,GEL-LL REGENARATION BLOSSOM DEW,,,,,,5.07,,,FOZ,,,,Jun  5 2016 1,,,,,2.15,,,,
3,,0072831500610,,,1,,ANNEMARIE BORLIND,,,,,DAY CREAM-LL REGENERATION,,,,,,1.70,,,FOZ,,,,Jun  5 2016 1,,,,,2.45,,,,
4,,0072831500600,,,1,,ANNEMARIE BORLIND,,,,,NIGHT CREAM-LL REGENERATION,,,,,,1.69,,,FOZ,,,,Jun  5 2016 1,,,,,2.45,,,,
5,,0072831500070,,,1,,ANNEMARIE BORLIND,,,,,LL REGENERATION EYE WRINKLE CREAM,,,,,,1.00,,,FOZ,,,,Jun  5 2016 1,,,,,2.45,,,,
6,,0072831500143,,,1,,ANNEMARIE BORLIND,,,,,EYE WRINKLE CREAM,,,,,,0.67,,,FOZ,,,,Jun  5 2016 1,,,,,1.40,,,,
7,,0072831500633,,,1,,ANNEMARIE BORLIND,,,,,GEL-FACIAL FIRMING,,,,,,1.69,,,FOZ,,,,Jun  5 2016 1,,,,,1.52,,,,
8,,0072831500632,,,1,,ANNEMARIE BORLIND,,,,,ORANGE BLOSSOM ENERGIZER,,,,,,1.69,,,FOZ,,,,Jun  5 2016 1,,,,,1.52,,,,
9,,0072831500631,,,1,,ANNEMARIE BORLIND,,,,,CERAMIDE VITAL FLUID,,,,,,1.69,,,FOZ,,,,Jun  5 2016 1,,,,,2.45,,,,
10,,0072831500819,,,1,,ANNEMARIE BORLIND,,,,,ROSE BLOSSOM REVITALIZING CARE,,,,,,1.69,,,FOZ,,,,,,,,,1.55,,,,
11,,0072831500661,,,1,,ANNEMARIE BORLIND,,,,,CLEANSING MILK-ROSEDEW,,,,,,5.07,,,FOZ,,,,Jun  5 2016 1,,,,,2.15,,,,
12,,0072831500662,,,1,,ANNEMARIE BORLIND,,,,,FACIAL TONER-ROSEDEW,,,,,,5.07,,,FOZ,,,,Jun  5 2016 1,,,,,2.15,,,,
13,,0072831500700,,,1,,ANNEMARIE BORLIND,,,,,DAY CREAM-ROSEDEW,,,,,,1.69,,,FOZ,,,,Jun  5 2016 1,,,,,2.45,,,,
14,,0072831500690,,,1,,ANNEMARIE BORLIND,,,,,NIGHT CREAM-ROSEDEW,,,,,,1.69,,,FOZ,,,,Jun  5 2016 1,,,,,2.45,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
