Positio,,UPC,,,Facings,,,Brand,,,,,Long Description,,,,,Size,,,UOM,,,,,Date,,,,,Width,,,,
12,0002107800084,,,1,,SOURCE NATURALS,,,,,,MELATONIN 2.5 MG PEPPERMINT,,,,,60.00,,,TAB,,,,,,,,1.70,,,,,,,
13,0002107800550,,,1,,SOURCE NATURALS,,,,,,MELATONIN 3 MG,,,,,60.00,,,TAB,,,,,,,,1.70,,,,,,,
14,0002107800065,,,1,,SOURCE NATURALS,,,,,,MELATONIN 3 MG TIMED RELEASE,,,,,60.00,,,TAB,,,,,,,,1.70,,,,,,,
15,0002107800556,,,1,,SOURCE NATURALS,,,,,,MELATONIN 5 MG,,,,,60.00,,,TAB,,,,,,,,1.70,,,,,,,
16,0002107800579,,,1,,SOURCE NATURALS,,,,,,MELATONIN 5 MG ORANGE,,,,,50.00,,,TAB,,,,,,,,1.70,,,,,,,
17,0002107800582,,,1,,SOURCE NATURALS,,,,,,MELATONIN 5MG PEPPERMINT LOZ 50 CNT,,,,,50.00,,,LZ,,,,,,,,1.70,,,,,,,
18,0002107802466,,,1,,SOURCE NATURALS,,,,,,MELATONIN 10MG,,,,,60.00,,,TAB,,,,,,,,1.70,,,,,,,
19,0002107800328,,,1,,SOURCE NATURALS,,,,,,MELATONIN NUTRASPRAY 1.5MG-ORANGE,,,,,2.00,,,FOZ,,,,,,,,1.39,,,,,,,
20,0002107800086,,,1,,SOURCE NATURALS,,,,,,MELATONIN LIQUID SUBLINGUAL ORANGE,,,,,2.00,,,FOZ,,,,,,,,1.50,,,,,,,
21,0064667067155,,,1,,SPROUTS,,,,,,MELATONIN 3 MG,,,,,60.00,,,VTB,,,,,,,,1.75,,,,,,,
22,0064667069030,,,1,,SPROUTS,,,,,,MELATONIN 3 MG,,,,,60.00,,,VCP,,,,,,,,2.00,,,,,,,
23,0064667013002,,,1,,SPROUTS,,,,,,MELATONIN 3MG,,,,,2.00,,,FOZ,,,,,,,,1.53,,,,,,,
24,0003398401956,,,1,,SOLGAR,,,,,,MELATONIN 10 MG,,,,,60.00,,,TAB,,,,,,,,1.75,,,,,,,
25,0003398450380,,,1,,SOLGAR,,,,,,MELATONIN-LIQUID-10 MG,,,,,2.00,,,FOZ,,,,,,,,1.65,,,,,,,
