,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positio,,,,UPC,,Facings,,,,,Brand,,,,,,Long Description,,,Size,,,,,UOM,,,,Date,,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 4.00"",   Product: 3' 11.93""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0064667068049,,,,1,,,SPROUTS,,,,,,FLAX SEED OIL 1000 MG,,,,90.00,,,,,SG,,,,,,,2.70,,,,,,,
2,0064667068048,,,,2,,,SPROUTS,,,,,,FLAX SEED OIL 1000 MG,,,,180.00,,,,,SG,,,,,,,3.10,,,,,,,
3,0074371500922,,,,1,,,BLUEBONNET,,,,,,FLAX SEED OIL 1000 MG,,,,100.00,,,,,SG,,,,,,,2.70,,,,,,,
4,0070587510001,,,,1,,,BARLEANS,,,,,,FLAX OIL SOFTGELS,,,,100.00,,,,,SG,,,,,,,2.80,,,,,,,
5,0070587510007,,,,1,,,BARLEANS,,,,,,LIGNAN FLAX OIL SOFTGELS,,,,100.00,,,,,SG,,,,,,,2.80,,,,,,,
6,0070587510008,,,,1,,,BARLEANS,,,,,,LIGNAN FLAX OIL SOFTGELS,,,,250.00,,,,,SG,,,,,,,3.15,,,,,,,
7,0007628000832,,,,1,,,SOLARAY,,,,,,BLACK CURRANT SEED OIL,,,,90.00,,,,,SG,,,,,,,2.00,,,,,,,
8,0001004301223,,,,1,,,HEALTH FROM THE SUN,,,,,,BLACK CURRANT OIL 1000 MG,,,,30.00,,,,,SG,,,,,,,2.00,,,,,,,
9,0073373901717,,,,1,,,NOW,,,,,,BLACK CURRANT OIL 1000 MG,,,,100.00,,,,,SG,,,,,,,2.65,,,,,,,
10,0065752009401,,,,1,,,HEALTH LOGICS,,,,,,BLACK SEED OIL,,,,100.00,,,,,SG,,,,,,,2.40,,,,,,,
11,0065752088888,,,,1,,,HEALTH LOGICS,,,,,,BLACK SEED OIL,,,,6.00,,,,,FOZ,,,,,,,2.15,,,,,,,
12,0007697077406,,,,1,,,HERITAGE STORE,,,,,,BLACK SEED OIL 650 MG,,,,90.00,,,,,VCP,,,,,,,2.55,,,,,,,
13,0007697074742,,,,2,,,HERITAGE STORE,,,,,,BLACK SEED OIL,,,,8.00,,,,,FOZ,,,,,,,2.40,,,,,,,
14,0007697082571,,,,1,,,HERITAGE STORE,,,,,,BLACK SEED OIL-16 FOZ,,,,16.00,,,,,FOZ,,,,,,,2.95,,,,,,,
15,0003367412322,,,,2,,,NATURE'S WAY,,,,,,BLACK SEED OIL-ORG,,,,8.00,,,,,FOZ,,,,,,,2.05,,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 6,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 4.00"",   Product: 3' 11.86""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0003367410011,,,,1,,,NATURE'S WAY,,,,,,RAW COCONUT WHOLE FOOD,,,,16.00,,,,,OZ,,,,,,,3.80,,,,,,,
2,0079001116028,,,,1,,,JARROW FORMULAS,,,,,,COCONUT OIL,,,,16.00,,,,,FOZ,,,,,,,3.70,,,,,,,
3,0079001116033,,,,1,,,JARROW FORMULAS,,,,,,COCONUT OIL-EXTRA VIRGIN,,,,16.00,,,,,FOZ,,,,,,,3.70,,,,,,,
4,0070587500025,,,,1,,,BARLEANS,,,,,,EXTRA VIRGIN COCONUT OIL-ORGANIC,,,,16.00,,,,,FOZ,,,,,,,3.70,,,,,,,
5,0070587580069,,,,1,,,BARLEANS,,,,,,COCONUT OIL-BUTTER,,,,16.00,,,,,FOZ,,,,,,,3.65,,,,,,,
6,0074365000164,,,,1,,,EMERALD LABORATORIES,,,,,,COCONUT OIL-100% PURE-EXTRA VIRGIN,,,,16.00,,,,,OZ,,,,,,,3.70,,,,,,,
7,0074365000185,,,,2,,,EMERALD LABORATORIES,,,,,,COCONUT OIL SOFTGELS,,,,60.00,,,,,SG,,,,,,,2.30,,,,,,,
8,0074365000165,,,,2,,,EMERALD LABORATORIES,,,,,,COCONUT OIL SOFTGELS,,,,120.00,,,,,SG,,,,,,,2.70,,,,,,,
9,0008300026131,,,,1,,,NATURE'S ANSWER,,,,,,EXTRA VIRGIN COCONUT OIL,,,,120.00,,,,,SG,,,,,,,3.00,,,,,,,
10,0064667068018,,,,1,,,SPROUTS,,,,,,BORAGE OIL 1000 MG,,,,30.00,,,,,SG,,,,,,,2.00,,,,,,,
11,0073373901720,,,,1,,,NOW,,,,,,BORAGE OIL 1000 MG,,,,60.00,,,,,SG,,,,,,,2.50,,,,,,,
12,0003367415413,,,,1,,,NATURE'S WAY,,,,,,BORAGE OIL 1300MG,,,,60.00,,,,,SG,,,,,,,2.60,,,,,,,
13,0069765810105,,,,1,,,MANITOBA HARVEST,,,,,,HEMP SEED OIL 1000 MG,,,,60.00,,,,,SG,,,,,,,2.60,,,,,,,
14,0076899001665,,,,1,,,NORDIC NATURALS,,,,,,NORDIC GLA-UNFLAVORED,,,,4.00,,,,,FOZ,,,,,,,1.95,,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
