"Project Type: Reset 10/22/2018 Buyer: Kate Gibson x317 Analyst: Tim Esch x596
Location(s):
Notes:",,,,,,,,,,,,"10/12/2018
Vitamin Department
33411 Shadow Box-Protein Packets-L-Released
",,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
Positio,,,,,UPC,,Facings,,,,Brand,,,,Long Description,,,Size,,,,UOM,,,Date,,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 1' 9.00"",    Height: 0' 7.75"",   Depth: 1' 0.00"",   Product: 1' 9.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0082983500461,,,,1,,,AMAZING GRASS,,,,PROTEIN SUPERFOOD-VANILLA PKT,,,1.09,,,OZ,,,,Apr  3 2016 1,,,,3.90,,,,
2,,0082983500462,,,,1,,,AMAZING GRASS,,,,PROTEIN SUPERFOOD-VANILLA CS,,,10.09,,,OZ,,,,Apr 24 2016 1,,,,4.10,,,,
3,,0082983500465,,,,1,,,AMAZING GRASS,,,,PROTEIN SUPERFOOD-CHOC PNT BTTR PKT,,,1.51,,,OZ,,,,Apr  3 2016 1,,,,3.90,,,,
4,,0082983500466,,,,1,,,AMAZING GRASS,,,,PROTEIN SUPERFOOD-CHOC PNT BTTR CS,,,15.10,,,OZ,,,,May  1 2016 1,,,,4.10,,,,
5,,0085046000530,,,,1,,,KULI KULI,,,,SMOOTHIE MIX-ORG-GRNS & PRTN-VANILLA,,,1.00,,,OZ,,,,,,,,3.85,,,,
6,,0085046000527,,,,1,,,KULI KULI,,,,SMOOTHIE MIX-ORG-GRNS & PRTN-VNLA-CS,,,12.30,,,OZ,,,,,,,,4.15,,,,
7,,0083876600472,,,,1,,,VEGA,,,,ALL-IN-ONE SHAKE-ORG-FRNCH VNLA-PKT,,,1.40,,,OZ,,,,,,,,4.20,,,,
